task_id	name	status	energy_consumption	CO2e	time	cpus	powerdraw_cpu	cpu_model	cpu_usage	requested_memory
3	SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (bAnaBra1_1)	COMPLETED	226.12 uWh	52.26 ug	47.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.861	100.0 MB
2	SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (bAnaBra1_1)	COMPLETED	196.74 uWh	45.47 ug	44.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.8	100.0 MB
12	SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bAnaBra1_1)	COMPLETED	143.13 uWh	33.08 ug	50.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.511	100.0 MB
1	SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (bird)	COMPLETED	86.5 uWh	19.99 ug	21.0ms	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.54	6.0 GB
15	SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bAnaBra1_1)	COMPLETED	0.0 pWh	0.0 pg	0.0ms	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.469	100.0 MB
13	SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bAnaBra1_1)	COMPLETED	312.56 mWh	72.24 mg	25s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9229999999999999	12.0 GB
41	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus34016cds)	COMPLETED	2.3  Wh	531.2 mg	45s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9736666666666668	100.0 GB
71	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata10004rna)	COMPLETED	2.76  Wh	639.02 mg	58s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.87175	100.0 GB
160	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus13526cdna)	COMPLETED	2.19  Wh	507.0 mg	45s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9039999999999999	100.0 GB
31	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus20009cds)	COMPLETED	2.1  Wh	484.38 mg	48s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7517499999999999	100.0 GB
156	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus37073cdna)	COMPLETED	1.96  Wh	453.49 mg	41s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8773333333333333	100.0 GB
137	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus19538cdna)	COMPLETED	2.36  Wh	545.2 mg	51s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8293333333333334	100.0 GB
14	SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bAnaBra1_1)	COMPLETED	144.72 mWh	33.45 mg	10s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.983	12.0 GB
11	SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (bAnaBra1_1)	COMPLETED	45.32 mWh	10.47 mg	7s	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.963	6.0 GB
100	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata38018cds)	COMPLETED	2.8  Wh	647.35 mg	56s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9420000000000001	100.0 GB
7	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (bAnaBra1_1)	COMPLETED	1.46  Wh	337.94 mg	42s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8423333333333333	36.0 GB
119	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus34067cdna)	COMPLETED	2.11  Wh	488.03 mg	44s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8813333333333333	100.0 GB
89	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata24011rna)	COMPLETED	2.77  Wh	639.4 mg	1m 3s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.75925	100.0 GB
136	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus24047cdna)	COMPLETED	1.88  Wh	435.08 mg	39s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8896666666666666	100.0 GB
139	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus38075cdna)	COMPLETED	1.9  Wh	440.16 mg	40s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.87	100.0 GB
79	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus8015cdna)	COMPLETED	2.2  Wh	508.73 mg	45s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9089999999999999	100.0 GB
101	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus30560cdna)	COMPLETED	2.02  Wh	466.06 mg	42s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8820000000000001	100.0 GB
73	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus39578cdna)	COMPLETED	1.96  Wh	453.07 mg	41s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.876	100.0 GB
38	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus6002cds)	COMPLETED	2.1  Wh	485.4 mg	48s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7545000000000001	100.0 GB
82	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata6002rna)	COMPLETED	2.55  Wh	589.21 mg	58s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7605	100.0 GB
153	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus12023cdna)	COMPLETED	2.25  Wh	519.28 mg	49s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8173333333333332	100.0 GB
9	SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	1.56  Wh	360.81 mg	47s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7945	36.0 GB
168	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus14528cdna)	COMPLETED	2.4  Wh	554.02 mg	52s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8246666666666667	100.0 GB
134	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus29057cdna)	COMPLETED	2.28  Wh	526.92 mg	50s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8096666666666666	100.0 GB
124	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus23546cdna)	COMPLETED	1.89  Wh	437.39 mg	39s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8973333333333333	100.0 GB
130	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus5009cdna)	COMPLETED	2.0  Wh	462.03 mg	41s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9043333333333333	100.0 GB
33	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus24011rna)	COMPLETED	2.71  Wh	626.94 mg	57s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8693333333333334	100.0 GB
22	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (GallusGallus26012rna)	COMPLETED	2.38  Wh	549.16 mg	46s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.991	100.0 GB
