task_id	name	status	energy_consumption	CO2e	time	cpus	powerdraw_cpu	cpu_model	cpu_usage	requested_memory
8	SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (ilLysCori70_1)	COMPLETED	173.33 uWh	40.06 ug	57.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.5429999999999999	100.0 MB
17	SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (ilLysCori70_1)	COMPLETED	161.64 uWh	37.36 ug	46.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.628	100.0 MB
10	SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (ilLysCori70_1)	COMPLETED	180.19 uWh	41.65 ug	40.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.8059999999999999	100.0 MB
15	SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (insects)	COMPLETED	83.16 uWh	19.22 ug	20.0ms	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.547	6.0 GB
5	SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (ilLysCori70_1)	COMPLETED	9.67 mWh	2.24 mg	1s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.669	12.0 GB
56	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis16007rna)	COMPLETED	1.01  Wh	234.27 mg	21s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8896666666666666	100.0 GB
96	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus6002cds)	COMPLETED	942.28 mWh	217.78 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9293333333333333	100.0 GB
85	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis21419rna)	COMPLETED	870.65 mWh	201.22 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8926666666666667	100.0 GB
7	SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilLysCori70_1)	COMPLETED	12.86 mWh	2.97 mg	2s	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.955	6.0 GB
11	SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilLysCori70_1)	COMPLETED	54.86 mWh	12.68 mg	4s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.968	12.0 GB
167	SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GNU_SORT (ilLysCori70_1)	COMPLETED	215.86 uWh	49.89 ug	23.0ms	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.643	12.0 GB
3	SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	679.29 mWh	157.0 mg	21s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7685	36.0 GB
4	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (ilLysCori70_1)	COMPLETED	640.72 mWh	148.08 mg	21s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7134999999999999	36.0 GB
12	SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ilLysCori70_1)	COMPLETED	140.95 mWh	32.58 mg	12s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.855	12.0 GB
81	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus15239cds)	COMPLETED	860.02 mWh	198.77 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.875	100.0 GB
44	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella16007cds)	COMPLETED	876.42 mWh	202.56 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7565000000000001	100.0 GB
68	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis18008cds)	COMPLETED	930.01 mWh	214.94 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.91	100.0 GB
63	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis16007cds)	COMPLETED	938.26 mWh	216.85 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9229999999999999	100.0 GB
90	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis20009rna)	COMPLETED	962.38 mWh	222.42 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9610000000000001	100.0 GB
100	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis2000rna)	COMPLETED	976.51 mWh	225.69 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9063333333333332	100.0 GB
58	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella20009cds)	COMPLETED	886.61 mWh	204.91 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7717499999999999	100.0 GB
105	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus8003rna)	COMPLETED	874.65 mWh	202.15 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8993333333333333	100.0 GB
101	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis5426cdna)	COMPLETED	3.8  Wh	877.41 mg	1m 15s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.96	100.0 GB
50	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella22010rna)	COMPLETED	1.08  Wh	248.57 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8445	100.0 GB
66	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis8003cds)	COMPLETED	972.5 mWh	224.77 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9003333333333334	100.0 GB
98	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis18008rna)	COMPLETED	934.88 mWh	216.07 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9176666666666667	100.0 GB
99	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis3416cdna)	COMPLETED	6.89  Wh	1.59  g	2m 20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9177500000000001	100.0 GB
92	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus12005cds)	COMPLETED	892.69 mWh	206.32 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9293333333333333	100.0 GB
26	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis3617cdna)	COMPLETED	4.59  Wh	1.06  g	1m 38s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8473999999999999	100.0 GB
55	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella4001rna)	COMPLETED	956.37 mWh	221.04 mg	21s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8079999999999999	100.0 GB
165	SANGERTOL_TREEVAL:TREEVAL:KMER:CAT_CAT (ilLysCori70_1)	COMPLETED	162.77 mWh	37.62 mg	20s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.531	12.0 GB
91	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis6431cdna)	COMPLETED	2.97  Wh	686.8 mg	1m 2s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8795000000000001	100.0 GB
117	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (BombyxMori26012rna)	COMPLETED	1.54  Wh	356.58 mg	30s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.98425	100.0 GB
59	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella8003cds)	COMPLETED	1.02  Wh	236.06 mg	22s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8345	100.0 GB
73	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis20081cds)	COMPLETED	802.02 mWh	185.36 mg	17s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8570000000000001	100.0 GB
34	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella6002rna)	COMPLETED	1.08  Wh	250.65 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.85625	100.0 GB
35	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella18008rna)	COMPLETED	1.15  Wh	264.84 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8740000000000001	100.0 GB
23	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis4622cdna)	COMPLETED	5.31  Wh	1.23  g	1m 49s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9025	100.0 GB
29	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis4421cdna)	COMPLETED	3.52  Wh	814.3 mg	1m 14s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.87	100.0 GB
51	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella16007rna)	COMPLETED	1.13  Wh	260.12 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8484999999999999	100.0 GB
49	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella4001cds)	COMPLETED	972.52 mWh	224.77 mg	22s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.768	100.0 GB
67	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis14006cds)	COMPLETED	884.27 mWh	204.37 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9153333333333334	100.0 GB
109	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus4001rna)	COMPLETED	943.13 mWh	217.98 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9306666666666666	100.0 GB
78	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis12005rna)	COMPLETED	974.95 mWh	225.33 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9039999999999999	100.0 GB
84	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis10004rna)	COMPLETED	1.05  Wh	243.78 mg	21s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9483333333333334	100.0 GB
60	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis1406cdna)	COMPLETED	6.33  Wh	1.46  g	2m 7s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9358	100.0 GB
54	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella8003rna)	COMPLETED	1.15  Wh	265.65 mg	25s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.821	100.0 GB
40	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella2000rna)	COMPLETED	1.08  Wh	249.41 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.84925	100.0 GB
19	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis7125cdna)	COMPLETED	6.06  Wh	1.4  g	2m 0s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9554	100.0 GB
79	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis4220cdna)	COMPLETED	3.64  Wh	841.36 mg	1m 16s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8786	100.0 GB
122	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis6230cdna)	COMPLETED	3.06  Wh	707.2 mg	1m 10s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.75325	100.0 GB
94	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus10004cds)	COMPLETED	896.3 mWh	207.15 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9353333333333335	100.0 GB
70	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis12005cds)	COMPLETED	885.17 mWh	204.58 mg	19s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8393333333333334	100.0 GB
47	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella18008cds)	COMPLETED	883.61 mWh	204.22 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.76725	100.0 GB
74	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis10004cds)	COMPLETED	907.93 mWh	209.84 mg	20s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8036666666666666	100.0 GB
9	SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ilLysCori70_1)	COMPLETED	116.68 mWh	26.97 mg	10s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.848	12.0 GB
119	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis200cdna)	COMPLETED	13.0  Wh	3.0  g	4m 26s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9071666666666666	100.0 GB
80	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis6029cdna)	COMPLETED	3.51  Wh	811.48 mg	1m 9s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.968	100.0 GB
135	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (BombyxMori16007rna)	COMPLETED	1.21  Wh	279.49 mg	25s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.89275	100.0 GB
42	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella14006cds)	COMPLETED	989.78 mWh	228.76 mg	22s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7915000000000001	100.0 GB
139	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus4220cdna)	COMPLETED	783.48 mWh	181.08 mg	17s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8243333333333334	100.0 GB
37	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PlutellaXylostella14006rna)	COMPLETED	1.07  Wh	246.5 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.775	100.0 GB
65	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis2000cds)	COMPLETED	865.84 mWh	200.11 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8846666666666666	100.0 GB
141	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus3014cdna)	COMPLETED	736.32 mWh	170.18 mg	16s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8223333333333332	100.0 GB
134	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (DanausPlexippus1406cdna)	COMPLETED	850.2 mWh	196.5 mg	18s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8586666666666667	100.0 GB
21	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (LeptideaSinapis1205cdna)	COMPLETED	8.94  Wh	2.07  g	3m 17s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8026	100.0 GB
