---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   adoring_crick
Pipeline_session:   17e80966-2fb8-4c65-a27d-608791ebe719
Pipeline_duration:  36594
Pipeline_datastrt:  2023-11-29T14:02:16.073045Z
Pipeline_datecomp:  2023-11-30T00:12:10.816490Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      xbLutLutr1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/xbLutLutr1_1.yaml
InputAssemblyData:  [[id:xbLutLutr1_1, sz:854699705, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Lutraria_lutraria/assembly/draft/treeval/xbLutLutr1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6064018823], /lustre/scratch124/tol/projects/darwin/data/molluscs/Lutraria_lutraria/assembly/draft/treeval/xbLutLutr1_1/working/work/30/5c105acda4c27d78b0b15f304a112d/in/m64228e_230821_203119.ccs.bc1002_BAK8A_OA--bc1002_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43604805987, cn:9], /lustre/scratch124/tol/projects/darwin/data/molluscs/Lutraria_lutraria/assembly/draft/treeval/xbLutLutr1_1/working/work/23/4f1ef1d9b70baeea7dccf99df3e93a/in/46436_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (xbLutLutr1_1)	COMPLETED	-	1	100 MB	1	39ms	91.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (xbLutLutr1_1)	COMPLETED	-	1	100 MB	1	57ms	62.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (xbLutLutr1)	COMPLETED	-	1	100 MB	1	56ms	84.5%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (xbLutLutr1_1)	COMPLETED	-	1	100 MB	1	1s	54.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (xbLutLutr1_1)	COMPLETED	-	2	12 GB	1	2s	95.2%	0.0%	52.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (xbLutLutr1_1)	COMPLETED	-	1	6 GB	1	3s	95.7%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (xbLutLutr1_1)	COMPLETED	-	2	12 GB	1	6.2s	97.4%	0.0%	101.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (xbLutLutr1_1)	COMPLETED	-	1	100 MB	1	27ms	48.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (xbLutLutr1_1)	COMPLETED	-	2	12 GB	1	14ms	49.6%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (xbLutLutr1_1)	COMPLETED	-	2	12 GB	1	14ms	79.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (xbLutLutr1_1)	COMPLETED	-	2	12 GB	1	1s	140.5%	0.1%	305.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (xbLutLutr1_1)	COMPLETED	-	2	12 GB	1	12ms	52.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (xbLutLutr1_1)	COMPLETED	-	1	6 GB	1	0ms	81.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (xbLutLutr1_1)	COMPLETED	-	1	2 GB	1	0ms	32.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (xbLutLutr1)	COMPLETED	-	2	12 GB	1	17s	93.3%	0.0%	3.5 MB
