---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   exotic_borg
Pipeline_session:   18b700dd-9098-4e8a-8969-54b85f1123e6
Pipeline_duration:  1260
Pipeline_datastrt:  2023-08-21T13:37:37.510410+01:00
Pipeline_datecomp:  2023-08-21T13:58:37.574599+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [fBleOce1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/fBleOce1_1.yaml
InputAssemblyData:  [[id:fBleOce1_1, sz:740878624, ln:fish, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fBleOce1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:4940060223], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fBleOce1_1/working/work/2a/3e9bb9c994f87362878744fa569124/in/m64230e_230810_192440.ccs.bc2031--bc2031.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:29786279703], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fBleOce1_1/working/work/a1/a7464dd329851a282e884fec63a3c1/in/47432_4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	40 GB	1	7m 45s	98.9%	4.3%	16.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	CACHED	-	6	36 GB	1	21s	194.4%	1.5%	5.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (fBleOce1_1)	CACHED	-	2	12 GB	1	5s	94.8%	0.0%	77 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (fBleOce1_1)	CACHED	-	2	12 GB	1	1s	94.1%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fBleOce1_1)	CACHED	-	2	12 GB	1	3m 15s	99.7%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (fBleOce1_1)	CACHED	-	2	12 GB	1	0ms	57.6%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (fBleOce1_1)	CACHED	-	1	6 GB	1	182ms	18.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (fBleOce1_1)	CACHED	-	1	6 GB	1	218ms	17.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (fBleOce1_1)	CACHED	-	1	6 GB	1	4s	97.0%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (fBleOce1_1)	CACHED	-	2	12 GB	1	4m 13s	99.8%	0.0%	210.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (fBleOce1_1)	CACHED	-	2	12 GB	1	1s	141.9%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fBleOce1_1)	CACHED	-	16	130 GB	1	42m 42s	1379.0%	6.4%	24.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fBleOce1_1)	CACHED	-	16	130 GB	1	41m 31s	1498.1%	6.2%	24 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (fBleOce1_1)	CACHED	-	2	12 GB	1	3s	97.6%	0.0%	6.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fBleOce1_1)	CACHED	-	16	130 GB	1	41m 45s	1487.2%	6.4%	24.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_ALIGN (fBleOce1_1)	CACHED	-	16	100 GB	1	2h 6m 53s	1253.4%	4.2%	15.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fBleOce1_1)	CACHED	-	16	130 GB	1	41m 32s	1489.0%	6.3%	24 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fBleOce1_1)	CACHED	-	16	130 GB	1	39m 44s	1491.9%	6.4%	24.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (fBleOce1_1)	CACHED	-	2	12 GB	1	22ms	48.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fBleOce1_1)	CACHED	-	16	130 GB	1	41m	1469.1%	6.5%	25.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (fBleOce1_1)	CACHED	-	2	12 GB	1	23ms	66.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:SAMTOOLS_MERGE (fBleOce1)	CACHED	-	16	50 GB	1	51s	555.5%	0.0%	21.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (fBleOce1_1)	CACHED	-	2	12 GB	1	13ms	58.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:SAMTOOLS_MERGE (fBleOce1_1)	CACHED	-	16	50 GB	1	10m 38s	778.3%	0.0%	32.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:SAMTOOLS_SORT (fBleOce1)	CACHED	-	8	36 GB	1	1m 53s	569.7%	0.8%	6.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:PRETEXTMAP_HIGHRES (fBleOce1_1)	CACHED	-	20	16 GB	1	29m 27s	193.5%	1.7%	6.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:PRETEXTMAP_STANDRD (fBleOce1_1)	CACHED	-	16	3 GB	1	13m 38s	220.8%	0.6%	2.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:SAMTOOLS_MARKDUP (fBleOce1_1)	CACHED	-	12	100 GB	1	14m 32s	701.0%	0.2%	658.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (fBleOce1_1)	CACHED	-	1	6 GB	1	0ms	38.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:SNAPSHOT_SRES (fBleOce1_1)	CACHED	-	1	6 GB	1	3s	96.9%	0.0%	51.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (fBleOce1_1)	CACHED	-	1	6 GB	1	0ms	25.4%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:SAMTOOLS_VIEW (fBleOce1)	CACHED	-	2	12 GB	1	3m 57s	104.4%	0.0%	12.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BAMTOBED_SORT (fBleOce1_1)	CACHED	-	12	100 GB	1	52m 22s	447.9%	12.5%	47 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:BEDTOOLS_BAMTOBED (fBleOce1)	CACHED	-	6	36 GB	1	2m 9s	100.0%	0.0%	7.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GET_PAIRED_CONTACT_BED (fBleOce1_1)	CACHED	-	2	12 GB	1	26m 55s	120.9%	0.0%	21.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (fBleOce1_1)	COMPLETED	-	2	12 GB	1	24ms	34.0%	0.0%	4.5 MB
