---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   determined_spence
Pipeline_session:   7898eaf6-e849-483f-9e64-45a3fc285811
Pipeline_duration:  39729
Pipeline_datastrt:  2023-08-27T21:04:43.633987449+01:00
Pipeline_datecomp:  2023-08-28T08:06:52.834501174+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [fConCon1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/fConCon1_1.yaml
InputAssemblyData:  [[id:fConCon1_1, sz:1155344337, ln:fish, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fConCon1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[5308222644, 4509785704]], [/lustre/scratch123/tol/teams/tola/treeval_runs/RC/fConCon1_1/working/work/65/aee461c37b203ed41d13147807d91c/in/m64228e_230813_052735.ccs.bc2094--bc2094.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fConCon1_1/working/work/65/aee461c37b203ed41d13147807d91c/in/m64229e_221118_162456.ccs.bc1019_BAK8B_OA--bc1019_BAK8B_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:84623756225], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fConCon1_1/working/work/67/5d255b88350eaf833ea26a044199b6/in/46311_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (fConCon1_1)	COMPLETED	-	1	6 GB	1	166ms	16.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (fConCon1_1)	COMPLETED	-	1	6 GB	1	97ms	19.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (fConCon1_1)	COMPLETED	-	1	6 GB	1	112ms	29.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (fConCon1_1)	COMPLETED	-	2	12 GB	1	2s	66.4%	0.0%	82.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (fConCon1_1)	COMPLETED	-	1	6 GB	1	4s	96.4%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (fConCon1_1)	COMPLETED	-	2	12 GB	1	0ms	65.5%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (fConCon1_1)	COMPLETED	-	2	12 GB	1	8.2s	95.5%	0.0%	161.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (fConCon1_1)	COMPLETED	-	2	12 GB	1	16ms	52.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (fConCon1_1)	COMPLETED	-	2	12 GB	1	13ms	56.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (fConCon1_1)	COMPLETED	-	2	12 GB	1	18ms	80.0%	0.0%	2.8 MB
