---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   hungry_kalman
Pipeline_session:   3e344e9e-2a5c-4a86-ba83-16aea5086604
Pipeline_duration:  12h 40m 49s
Pipeline_datastrt:  2023-08-29T15:27:36.562207901+01:00
Pipeline_datecomp:  2023-08-30T04:08:25.673530355+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [ilDasTemp1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilDasTemp1_1.yaml
InputAssemblyData:  [[id:ilDasTemp1_1, sz:872599406, ln:insects, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilDasTemp1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:22125110399], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilDasTemp1_1/working/work/6e/8f292f7d708bb87ace0042a7a1de6c/in/m84098_230818_091820_s4.ccs.bc2018.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:44027666247], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilDasTemp1_1/working/work/a9/bb8a7ff98a2aa8a3e25504fa986cbc/in/47528_4#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	113ms	20.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	157ms	18.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	117ms	22.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	1s	100.4%	0.0%	19.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	3s	96.2%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	1s	65.2%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	7.9s	96.5%	0.0%	77.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	13ms	59.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	17ms	83.1%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	14ms	58.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	0ms	88.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	0ms	48.9%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	2s	128.2%	0.1%	381.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	16ms	44.1%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	86ms	75.4%	0.0%	8.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	28ms	66.2%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	25s	194.4%	1.6%	6.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	0ms	36.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	1m	98.7%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	4m 43s	81.1%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	100 GB	1	7m 58s	99.0%	2.5%	19.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	5m 53s	99.7%	0.0%	211.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilDasTemp1_1)	COMPLETED	-	2	12 GB	1	5s	93.0%	0.0%	6.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilDasTemp1_1)	COMPLETED	-	1	6 GB	1	4s	94.6%	0.8%	1.6 GB
