---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   festering_mcnulty
Pipeline_session:   2d7b0371-415d-4d00-a41d-5e566688a89b
Pipeline_duration:  7h 57m 51s
Pipeline_datastrt:  2023-08-04T11:43:08.507571+01:00
Pipeline_datecomp:  2023-08-04T19:40:59.422390+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [ilOleEste1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilOleEste1_1.yaml
InputAssemblyData:  [[id:ilOleEste1_1, sz:360144859, ln:insects, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilOleEste1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:2353992723], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilOleEste1_1/working/work/6d/f8f0c243385be4e87ebf0865829c8f/in/m64222e_230703_063403.ccs.bc2038--bc2038.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:50221742452], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilOleEste1_1/working/work/20/dc2fba279df8cc1c79e73ff2d08d3e/in/47339_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilOleEste1_1)	COMPLETED	-	1	6 GB	1	110ms	23.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilOleEste1_1)	COMPLETED	-	1	6 GB	1	179ms	27.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	1s	22.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	1s	92.2%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ref.fa)	COMPLETED	-	1	6 GB	1	1s	94.8%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	3.6s	78.1%	0.0%	64.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	13ms	59.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	16ms	85.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilOleEste1_1)	COMPLETED	-	1	6 GB	1	0ms	72.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	13ms	59.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	13s	171.9%	0.7%	2.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	2s	97.4%	0.1%	230 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilOleEste1_1)	COMPLETED	-	2	12 GB	1	44ms	59.4%	0.0%	7.2 MB
