---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   furious_sax
Pipeline_session:   d5574483-3cbc-4906-a204-3afb5a1c3c4b
Pipeline_duration:  12h 48m 30s
Pipeline_datastrt:  2023-08-15T13:27:58.520123695+01:00
Pipeline_datecomp:  2023-08-16T02:16:28.885390673+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [ilPolDamo1_1]
InputYamlFile:      ilPolDamo1.yaml
InputAssemblyData:  [[id:ilPolDamo1_1, sz:550101171, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/ASSEMBLY_DATA/ilPolDamo1.fa]
Input_PacBio_Files: [[id:pacbio, sz:6769902880], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/19/ec8041537247d415cfb05830b751e2/in/m64089e_230806_042949.ccs.bc2043--bc2043.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36326014836], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/c4/955a0beca4b62be8ea662c827636d7/in/47530_1#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	41ms	101.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	45ms	79.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	0ms	58.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	1s	79.6%	0.0%	44 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	15ms	56.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	23s	151.0%	1.1%	4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	2s	95.0%	0.0%	4.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	5.3s	95.6%	0.0%	83.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	27ms	55.7%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	0ms	72.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	20ms	49.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	2s	136.7%	0.1%	305.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	84ms	65.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	0ms	33.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	55ms	34.6%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	0ms	54.7%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	3m 45s	100.2%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ilPolDamo1.fa)	COMPLETED	-	1	40 GB	1	5m 14s	96.5%	3.2%	12.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	3m 53s	100.0%	0.0%	192.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	3s	87.1%	0.0%	6.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	4s	85.5%	0.1%	910.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	817ms	57.7%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	2.7s	156.1%	0.0%	249.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (ilPolDamo1_1)	COMPLETED	-	2	12 GB	1	2.4s	106.1%	0.0%	5.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (ilPolDamo1_1)	COMPLETED	-	1	6 GB	1	2s	91.4%	0.0%	8.8 MB
