---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   infallible_bardeen
Pipeline_session:   c010447c-548a-437d-a78a-b3904ebd65f1
Pipeline_duration:  11h 51s
Pipeline_datastrt:  2023-08-25T11:33:19.676164945+01:00
Pipeline_datecomp:  2023-08-25T22:34:10.497469448+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [mGloMel1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/mGloMel1_1.yaml
InputAssemblyData:  [[id:mGloMel1_1, sz:2695476055, ln:mammals, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/mGloMel1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[5183619419, 4864080678, 4846973024, 6006247357]], [/lustre/scratch123/tol/teams/tola/treeval_runs/RC/mGloMel1_1/working/work/78/e925e7516f6a07ae5a02f74fdaff0d/in/m64178e_230216_162826.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/treeval_runs/RC/mGloMel1_1/working/work/78/e925e7516f6a07ae5a02f74fdaff0d/in/m64229e_230303_042418.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/treeval_runs/RC/mGloMel1_1/working/work/78/e925e7516f6a07ae5a02f74fdaff0d/in/m64230e_230227_170309.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/treeval_runs/RC/mGloMel1_1/working/work/78/e925e7516f6a07ae5a02f74fdaff0d/in/m64230e_230730_131939.ccs.bc2074--bc2074.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:134695800354], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/mGloMel1_1/working/work/f9/c67d9db86b94492dcdeaa6b2ff10b9/in/46651_1#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (mGloMel1_1)	CACHED	-	2	12 GB	1	3s	100.2%	0.0%	168.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	CACHED	-	6	36 GB	1	1m 4s	207.2%	2.7%	10.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (mGloMel1_1)	CACHED	-	2	12 GB	1	14m 53s	100.0%	1.1%	4.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (mGloMel1_1)	CACHED	-	2	12 GB	1	22.7s	98.1%	0.1%	332.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	100 GB	1	35m 18s	100.3%	15.7%	59.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (mGloMel1_1)	CACHED	-	1	6 GB	1	84ms	26.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (mGloMel1_1)	CACHED	-	1	6 GB	1	9s	97.1%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (mGloMel1_1)	CACHED	-	1	6 GB	1	76ms	24.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (mGloMel1_1)	CACHED	-	2	12 GB	1	0ms	66.7%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (mGloMel1_1)	CACHED	-	1	6 GB	1	75ms	36.7%	0.0%	0
