---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   romantic_fourier
Pipeline_session:   7c0fd680-3121-4989-84d9-fd280ee91bca
Pipeline_duration:  17720
Pipeline_datastrt:  2024-04-19T14:25:48.841713130+01:00
Pipeline_datecomp:  2024-04-19T19:21:09.565758411+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      bButBut1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/bButBut1_2.yaml
InputAssemblyData:  [[id:bButBut1_2, sz:2678154407, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Buteo_buteo/assembly/draft/treeval/bButBut1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:10726201989], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/de/8658e0a9a304a649f61b55b2bc4f36/in/m84098_240313_131315_s3.ccs.bc2071.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:23723698170, cn:6], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/cc/bf5470511bef2b5d85bc2a0bc3202e/in/48772_3-4#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (bButBut1_2)	COMPLETED	-	1	100 MB	1	211ms	26.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (bButBut1_2)	COMPLETED	-	1	100 MB	1	246ms	22.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (bButBut1_2)	COMPLETED	-	1	100 MB	1	1s	22.7%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (bButBut1_2)	COMPLETED	-	2	12 GB	1	4s	76.8%	0.0%	90.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (bButBut1_2)	COMPLETED	-	1	6 GB	1	12s	96.0%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GNU_SORT (bButBut1_2)	COMPLETED	-	2	12 GB	1	19ms	38.6%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (bButBut1_2)	COMPLETED	-	1	100 MB	1	31ms	37.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (bButBut1_2)	COMPLETED	-	2	12 GB	1	19ms	39.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (bButBut1_2)	COMPLETED	-	1	6 GB	1	0ms	95.1%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (bButBut1_2)	COMPLETED	-	2	12 GB	1	16ms	54.9%	0.0%	0
