---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   sick_caravaggio
Pipeline_session:   769990d4-8dda-433c-a85d-06a6dc70df36
Pipeline_duration:  43553
Pipeline_datastrt:  2024-03-14T12:43:41.026450Z
Pipeline_datecomp:  2024-03-15T00:49:34.932842Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      bFulAtr2_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/bFulAtr2_2.yaml
InputAssemblyData:  [[id:bFulAtr2_1, sz:2767769316, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Fulica_atra/assembly/draft/bFulAtr2_2/merged.fa]
Input_PacBio_Files: [[id:read, sz:8455670261], /lustre/scratch124/tol/projects/darwin/data/birds/Fulica_atra/assembly/draft/bFalAtr2_2/work/e2/c2c617d91ae103874c7b1f67c35a24/in/m84093_240304_124900_s2.ccs.bc2042.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:31140511574, cn:7], /lustre/scratch124/tol/projects/darwin/data/birds/Fulica_atra/assembly/draft/bFalAtr2_2/work/c6/dc135aca38f5bc94849210e5f3ade2/in/48542_7-8#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (bFulAtr2_1)	COMPLETED	-	1	100 MB	1	118ms	11.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (bFulAtr2_1)	COMPLETED	-	1	100 MB	1	166ms	14.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (bFulAtr2_1)	COMPLETED	-	1	100 MB	1	66ms	30.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (bFulAtr2_1)	COMPLETED	-	1	100 MB	1	78ms	29.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	4s	93.3%	0.1%	209.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (bFulAtr2_1)	COMPLETED	-	1	100 MB	1	0ms	44.8%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (bFulAtr2_1)	COMPLETED	-	1	1 GB	1	0ms	45.8%	0.0%	5.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (bFulAtr2_1)	COMPLETED	-	1	100 MB	1	11ms	72.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	14s	99.5%	0.1%	441.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (bFulAtr2_1)	COMPLETED	-	1	6 GB	1	13s	96.4%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	27ms	56.4%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (bFulAtr2_1)	COMPLETED	-	1	6 GB	1	0ms	86.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	15ms	47.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	22s	96.8%	0.0%	3.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	22s	99.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	10s	114.1%	0.1%	372.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	14ms	42.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (bFulAtr2_1)	COMPLETED	-	2	12 GB	1	233ms	159.1%	0.0%	20.6 MB
