---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   zen_mccarthy
Pipeline_session:   57de8588-e894-40ff-b43c-1600e72917eb
Pipeline_duration:  11711
Pipeline_datastrt:  2024-04-10T12:56:53.351805301+01:00
Pipeline_datecomp:  2024-04-10T16:12:05.310642364+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      bGruGru1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/bGruGru1_1.yaml
InputAssemblyData:  [[id:bGruGru1_1, sz:1373906575, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Grus_grus/assembly/draft/treeval/bGruGru1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:9059034222], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/8b/c1b258ecc04dda1267e244337262c5/in/m84093_240219_121437_s3.ccs.bc2028.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:17514365732, cn:4], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/7e/c0b855c8a3f8420ae815b0fcb59c38/in/48542_3-4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (bGruGru1_1)	COMPLETED	-	1	100 MB	1	298ms	15.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bGruGru1_1)	COMPLETED	-	1	100 MB	1	411ms	9.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (bGruGru1_1)	COMPLETED	-	1	100 MB	1	213ms	16.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (bGruGru1_1)	COMPLETED	-	1	100 MB	1	190ms	19.6%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (bGruGru1_1)	COMPLETED	-	2	12 GB	1	2s	66.6%	0.1%	217.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (bGruGru1_1)	COMPLETED	-	1	6 GB	1	5s	96.9%	0.0%	6.2 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bGruGru1_1)	COMPLETED	-	1	100 MB	1	1s	54.6%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bGruGru1_1)	COMPLETED	-	2	12 GB	1	8.1s	91.3%	0.1%	430.3 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (bGruGru1_1)	COMPLETED	-	1	6 GB	1	20s	96.0%	0.4%	1.5 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bGruGru1_1)	COMPLETED	-	2	12 GB	1	25s	95.1%	0.1%	516.4 MB
