---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   peaceful_raman
Pipeline_session:   bb0a6970-d5ed-4c2d-bc0b-ed42d929b333
Pipeline_duration:  17718
Pipeline_datastrt:  2024-04-11T17:21:28.922847+01:00
Pipeline_datecomp:  2024-04-11T22:16:46.926313+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      bMarStr1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/bMarStr1_1.yaml
InputAssemblyData:  [[id:bMarStr1_1, sz:1314412414, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/bMarStr1_1/hap1.fa]
Input_PacBio_Files: [[id:read, sz:[7640058175, 1091000248]], [/lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/work/45/a1532c3c9a8d2bf77e1c0a7d3c5ce0/in/m64228e_230619_153626.ccs.bc2051--bc2051.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/work/45/a1532c3c9a8d2bf77e1c0a7d3c5ce0/in/m84093_240404_113737_s2.ccs.bc2059.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:24473339615, cn:5], /lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/work/df/bcf65e2b03918a4a910356ea62a33f/in/47339_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bMarStr1_1)	CACHED	-	1	100 MB	1	0ms	39.6%	0.0%	3.4 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bMarStr1_1)	CACHED	-	2	12 GB	1	11.7s	99.8%	0.1%	398.2 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bMarStr1_1)	CACHED	-	1	100 MB	1	133ms	16.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (bMarStr1_1)	CACHED	-	2	12 GB	1	2s	98.6%	0.1%	201.2 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (bMarStr1_1)	CACHED	-	6	50 GB	1	30s	331.3%	3.0%	11.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos2000cds)	CACHED	-	6	64 GB	1	47s	293.8%	2.4%	9.4 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos28013cds)	CACHED	-	6	64 GB	1	47s	305.5%	2.5%	9.4 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos36017rna)	CACHED	-	6	64 GB	1	51s	318.5%	2.6%	9.7 GB
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (bMarStr1_1)	CACHED	-	1	100 MB	1	146ms	18.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (bMarStr1_1)	CACHED	-	1	6 GB	1	22s	95.3%	0.4%	1.4 GB
