---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   elated_franklin
Pipeline_session:   05295dee-459c-4b1a-bbe7-830d038205b9
Pipeline_duration:  15863
Pipeline_datastrt:  2024-04-11T13:32:59.877863+01:00
Pipeline_datecomp:  2024-04-11T17:57:23.594071+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      bMarStr1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/bMarStr1_2.yaml
InputAssemblyData:  [[id:bMarStr1_2, sz:1159744400, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/bMarStr1_2/hap2.fa]
Input_PacBio_Files: [[id:read, sz:[7640058175, 1091000248]], [/lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/bMarStr1_2/work/f7/b5a4dba8d53bcb5d0597a92d7ccc81/in/m64228e_230619_153626.ccs.bc2051--bc2051.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/bMarStr1_2/work/f7/b5a4dba8d53bcb5d0597a92d7ccc81/in/m84093_240404_113737_s2.ccs.bc2059.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:24473339615, cn:5], /lustre/scratch124/tol/projects/darwin/data/birds/Mareca_strepera/assembly/draft/treeval/bMarStr1_2/work/e9/b8c1bc6aa20f3130aeb3e851145533/in/47339_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (bMarStr1_2)	COMPLETED	-	1	100 MB	1	83ms	26.6%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bMarStr1_2)	COMPLETED	-	1	100 MB	1	177ms	16.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (bMarStr1_2)	COMPLETED	-	1	100 MB	1	173ms	18.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (bMarStr1_2)	COMPLETED	-	1	100 MB	1	94ms	31.1%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bMarStr1_2)	COMPLETED	-	1	100 MB	1	0ms	56.7%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (bMarStr1_2)	COMPLETED	-	2	12 GB	1	2s	72.1%	0.0%	202.6 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bMarStr1_2)	COMPLETED	-	2	12 GB	1	7.1s	99.4%	0.0%	401.3 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (bMarStr1_2)	COMPLETED	-	1	6 GB	1	7s	95.3%	0.0%	6.1 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (bMarStr1_2)	COMPLETED	-	1	6 GB	1	21s	96.9%	0.3%	1.3 GB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:TABIX_BGZIPTABIX (bMarStr1_2)	COMPLETED	-	1	1 GB	1	0ms	49.5%	0.0%	3.1 MB
