---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   distraught_brown
Pipeline_session:   3b0339bd-1906-493c-b230-9db22f7e05a8
Pipeline_duration:  13070
Pipeline_datastrt:  2024-04-16T12:28:31.330492+01:00
Pipeline_datecomp:  2024-04-16T16:06:21.695145+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      bMerAlb1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/bMerAlb1_2.yaml
InputAssemblyData:  [[id:bMerAlb1_2, sz:1185429108, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Mergellus_albellus/assembly/draft/treeval/bMerAlb1_2/hap2.fa]
Input_PacBio_Files: [[id:read, sz:[7691868021, 1686496435]], [/lustre/scratch124/tol/projects/darwin/data/birds/Mergellus_albellus/assembly/draft/treeval/bMerAlb1_2/work/3b/42cf5ad26711d04ea6765233ae087f/in/m64230e_230614_183017.ccs.bc2025--bc2025.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/birds/Mergellus_albellus/assembly/draft/treeval/bMerAlb1_2/work/3b/42cf5ad26711d04ea6765233ae087f/in/m84093_240404_113737_s2.ccs.bc2024.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:38725955989, cn:8], /lustre/scratch124/tol/projects/darwin/data/birds/Mergellus_albellus/assembly/draft/treeval/bMerAlb1_2/work/d2/0a2c82587143f09ce554bb05d291f0/in/47339_3#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (bMerAlb1_2)	COMPLETED	-	1	100 MB	1	176ms	7.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (bMerAlb1_2)	COMPLETED	-	1	100 MB	1	158ms	15.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bMerAlb1_2)	COMPLETED	-	1	100 MB	1	83ms	29.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (bMerAlb1_2)	COMPLETED	-	1	100 MB	1	88ms	35.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bMerAlb1_2)	COMPLETED	-	1	100 MB	1	0ms	68.4%	0.0%	1.7 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	1s	91.0%	0.1%	202.4 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (bMerAlb1_2)	COMPLETED	-	1	6 GB	1	5s	96.4%	0.0%	4.7 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	6.6s	97.8%	0.1%	400.5 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:TABIX_BGZIPTABIX (bMerAlb1_2)	COMPLETED	-	1	1 GB	1	0ms	46.9%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (bMerAlb1_2)	COMPLETED	-	1	6 GB	1	27s	94.2%	0.1%	1.3 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	24s	94.8%	0.0%	463.8 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	24s	94.5%	0.1%	469.3 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:GAP_LENGTH (bMerAlb1_2)	COMPLETED	-	1	100 MB	1	16ms	65.3%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_B (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	14ms	46.4%	0.0%	2.7 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (bMerAlb1_2)	COMPLETED	-	1	6 GB	1	0ms	79.1%	0.0%	5.3 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GET_LARGEST_SCAFF (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	13ms	77.6%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	25s	94.8%	0.1%	474.2 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_WINDOWS (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	4s	143.9%	0.1%	359.7 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_C (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	121ms	86.0%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSSSI)	COMPLETED	-	2	12 GB	1	0ms	95.9%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSPQI)	COMPLETED	-	2	12 GB	1	1s	97.0%	0.0%	42.3 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (DLE1)	COMPLETED	-	2	12 GB	1	1s	91.1%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_MINIMAP2:MINIMAP2_INDEX (1)	COMPLETED	-	2	36 GB	1	42s	159.3%	1.3%	5.1 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:EXTRACT_TELO (bMerAlb1_2)	COMPLETED	-	2	12 GB	1	55ms	86.7%	0.0%	3 MB
