---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   compassionate_yonath
Pipeline_session:   fee7881f-ae12-45ef-8075-d7790df92d5a
Pipeline_duration:  16023
Pipeline_datastrt:  2024-03-13T16:56:37.271613Z
Pipeline_datecomp:  2024-03-13T21:23:40.305181Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      bNumArq3_3
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/bNumArq3_3.yaml
InputAssemblyData:  [[id:bNumArq3_3, sz:1362173589, ln:bird, tk:null], /lustre/scratch124/tol/projects/darwin/data/birds/Numenius_arquata/assembly/draft/bNumArq3_3/hap1.fa]
Input_PacBio_Files: [[id:read, sz:[5606161809, 3499097386, 5879291694]], [/lustre/scratch124/tol/projects/darwin/data/birds/Numenius_arquata/assembly/draft/bNumArq3_3/work/46/2317fd28e21e88ee9d9443d6a9d854/in/m64221e_230814_063846.ccs.bc2051--bc2051.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/birds/Numenius_arquata/assembly/draft/bNumArq3_3/work/46/2317fd28e21e88ee9d9443d6a9d854/in/m64222e_231217_033704.ccs.bc2054--bc2054.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/birds/Numenius_arquata/assembly/draft/bNumArq3_3/work/46/2317fd28e21e88ee9d9443d6a9d854/in/m64222e_240202_202338.ccs.bc2051--bc2051.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:28079861737, cn:6], /lustre/scratch124/tol/projects/darwin/data/birds/Numenius_arquata/assembly/draft/bNumArq3_3/work/26/ec4440d79e9eab5f3f3f7917a38f8e/in/47432_3#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bNumArq3_3)	CACHED	-	1	100 MB	1	0ms	51.1%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (bNumArq3_3)	CACHED	-	2	12 GB	1	2s	88.7%	0.0%	140.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bNumArq3_3)	CACHED	-	2	12 GB	1	27s	94.4%	0.1%	356.6 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bNumArq3_3)	CACHED	-	2	12 GB	1	26s	94.6%	0.0%	358.2 MB
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (bNumArq3_3)	CACHED	-	1	100 MB	1	190ms	15.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bNumArq3_3)	CACHED	-	1	100 MB	1	193ms	14.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (bNumArq3_3)	CACHED	-	6	3 GB	1	6m 1s	100.0%	0.3%	1.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos2000rna)	CACHED	-	6	60 GB	1	50s	307.2%	1.2%	8.8 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bNumArq3_3)	CACHED	-	2	12 GB	1	7.3s	96.1%	0.1%	276.6 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (bNumArq3_3)	CACHED	-	6	50 GB	1	32s	334.9%	3.2%	12.2 GB
