---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   chaotic_stone
Pipeline_session:   4cd603a1-fbf0-4a1a-97fe-8ba5a6874dc3
Pipeline_duration:  18102
Pipeline_datastrt:  2024-06-12T16:14:47.083395909+01:00
Pipeline_datecomp:  2024-06-12T21:16:29.428299062+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      bStrAlu2_3
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/bStrAlu2_3.yaml
InputAssemblyData:  [[id:bStrAlu2_3, sz:2784951039, ln:bird, tk:null], /lustre/scratch122/tol/data/7/f/9/8/a/9/Strix_aluco/assembly/draft/treeval/bStrAlu2_3/merged.fa]
Input_PacBio_Files: [[id:read, sz:13512484058], /lustre/scratch122/tol/data/7/f/9/8/a/9/Strix_aluco/assembly/draft/treeval/bStrAlu2_3/work/53/8e28651109647c098f43aceba614b5/in/m84047_240312_115426_s1.ccs.bc2066.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:55945761804, cn:13], /lustre/scratch122/tol/data/7/f/9/8/a/9/Strix_aluco/assembly/draft/treeval/bStrAlu2_3/work/74/296d611034fde3615ebd3cf22331dc/in/48903_5-6#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (bStrAlu2_3)	COMPLETED	-	1	100 MB	1	10ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (bStrAlu2_3)	COMPLETED	-	1	100 MB	1	13ms	95.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (bStrAlu2_3)	COMPLETED	-	1	100 MB	1	9ms	84.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	4s	92.1%	0.0%	165.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (bStrAlu2_3)	COMPLETED	-	1	100 MB	1	0ms	56.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (bStrAlu2_3)	COMPLETED	-	1	1 GB	1	0ms	50.4%	0.0%	5.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (bStrAlu2_3)	COMPLETED	-	1	100 MB	1	42ms	45.1%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	18.6s	99.1%	0.2%	352.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (bStrAlu2_3)	COMPLETED	-	1	6 GB	1	19s	95.5%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	18ms	37.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (bStrAlu2_3)	COMPLETED	-	1	6 GB	1	0ms	92.1%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	21ms	73.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	10s	116.8%	0.1%	373.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	293ms	109.0%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	42s	99.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (bStrAlu2_3)	COMPLETED	-	2	12 GB	1	51ms	87.9%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (bStrAlu2_3)	COMPLETED	-	1	1 GB	1	0ms	57.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:MINIMAP2_INDEX (1)	COMPLETED	-	2	84 GB	1	1m 37s	168.5%	1.3%	10.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (bStrAlu2_3)	COMPLETED	-	6	4.5 GB	1	15m 37s	100.4%	1.1%	4.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (bStrAlu2_3)	COMPLETED	-	8	100 GB	1	18m 28s	446.0%	5.4%	40.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (bStrAlu2_3)	COMPLETED	-	16	56 GB	1	18m 52s	1188.0%	5.6%	21.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (bStrAlu2_3)	COMPLETED	-	16	56 GB	1	31m 28s	1182.4%	5.6%	21.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (bStrAlu2_3)	COMPLETED	-	16	56 GB	1	32m 35s	1211.6%	5.6%	21.6 GB
