---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   condescending_marconi
Pipeline_session:   06fd5910-4ab9-46e3-94fb-3c6857079e50
Pipeline_duration:  36907
Pipeline_datastrt:  2024-06-13T17:10:05.964059+01:00
Pipeline_datecomp:  2024-06-14T03:25:13.655158+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daBudDavi1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Buddleja_davidii/assembly/draft/treeval/daBudDavi1_2/daBudDavi1_2.yaml
InputAssemblyData:  [[id:daBudDavi1_2, sz:2585658847, ln:, tk:null], /lustre/scratch122/tol/data/2/9/c/5/5/0/Buddleja_davidii/assembly/draft/treeval/daBudDavi1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[1279261976, 8822048955]], [/lustre/scratch122/tol/data/2/9/c/5/5/0/Buddleja_davidii/assembly/draft/treeval/daBudDavi1_2/working/work/4b/2528b8b25da0c30f7693be1095eaf9/in/m64097e_210429_151648.ccs.bc1021_BAK8B_OA--bc1021_BAK8B_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/2/9/c/5/5/0/Buddleja_davidii/assembly/draft/treeval/daBudDavi1_2/working/work/4b/2528b8b25da0c30f7693be1095eaf9/in/m84098_230921_130946_s2.ccs.bc2062.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:72015559986, cn:15], /lustre/scratch122/tol/data/2/9/c/5/5/0/Buddleja_davidii/assembly/draft/treeval/daBudDavi1_2/working/work/b1/7c83864bb4ff7fef60ca4e17302aa6/in/39409_4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daBudDavi1_2)	COMPLETED	-	1	100 MB	1	12ms	64.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daBudDavi1_2)	COMPLETED	-	1	100 MB	1	15ms	68.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daBudDavi1_2)	COMPLETED	-	1	100 MB	1	10ms	75.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (daBudDavi1_2)	COMPLETED	-	1	6 GB	1	9s	97.2%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daBudDavi1_2)	COMPLETED	-	1	100 MB	1	0ms	44.1%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	804ms	2.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (daBudDavi1_2)	COMPLETED	-	1	6 GB	1	3s	15.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	1.8s	1.6%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	5s	85.5%	0.0%	99.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	241ms	159.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daBudDavi1_2)	COMPLETED	-	1	1 GB	1	0ms	49.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	20.7s	87.9%	0.0%	210.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	33s	98.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	5s	115.7%	0.2%	375.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daBudDavi1_2)	COMPLETED	-	1	100 MB	1	31ms	45.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	30ms	65.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (daBudDavi1_2)	COMPLETED	-	1	1 GB	1	0ms	35.8%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (daBudDavi1_2)	COMPLETED	-	6	4.5 GB	1	13m 32s	100.0%	1.1%	4.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (daBudDavi1_2)	COMPLETED	-	20	52 GB	1	17m 8s	1901.5%	4.4%	17.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (daBudDavi1_2)	COMPLETED	-	25	100 GB	1	7m 1s	687.9%	2.1%	31.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (daBudDavi1_2)	COMPLETED	-	20	100 GB	1	3m 36s	1054.5%	2.9%	10.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (merged.fa)	COMPLETED	-	1	73 GB	1	26m 14s	99.6%	15.1%	56.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (daBudDavi1_2)	COMPLETED	-	1	2 GB	1	28m 47s	99.5%	0.1%	363.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	11s	98.6%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (daBudDavi1_2)	COMPLETED	-	1	15 GB	1	16s	95.3%	1.1%	4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (daBudDavi1_2)	COMPLETED	-	2	12 GB	1	2.2s	111.7%	0.0%	8.6 MB
