---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   voluminous_goldwasser
Pipeline_session:   5a271f8a-0845-4159-a477-041e2c9e6044
Pipeline_duration:  19016
Pipeline_datastrt:  2024-06-13T17:10:06.375417+01:00
Pipeline_datecomp:  2024-06-13T22:27:03.336098+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daCarCris1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Carduus_crispus/assembly/draft/treeval/daCarCris1_1/daCarCris1_1.yaml
InputAssemblyData:  [[id:daCarCris1_1, sz:1113123656, ln:, tk:null], /lustre/scratch122/tol/data/f/6/d/f/9/3/Carduus_crispus/assembly/draft/treeval/daCarCris1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[4812100593, 6484710798]], [/lustre/scratch122/tol/data/f/6/d/f/9/3/Carduus_crispus/assembly/draft/treeval/daCarCris1_1/working/work/7d/3d65c25b5cb6e6902084411b33db75/in/m64094e_230329_222102.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.rmdup.filtered.fasta.gz, /lustre/scratch122/tol/data/f/6/d/f/9/3/Carduus_crispus/assembly/draft/treeval/daCarCris1_1/working/work/7d/3d65c25b5cb6e6902084411b33db75/in/m84098_240118_141927_s3.ccs.bc2054.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:31703031562, cn:7], /lustre/scratch122/tol/data/f/6/d/f/9/3/Carduus_crispus/assembly/draft/treeval/daCarCris1_1/working/work/86/e8ff631a6a0ea0b739eb3ac5dda385/in/46359_1#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daCarCris1_1)	COMPLETED	-	1	100 MB	1	30ms	51.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daCarCris1_1)	COMPLETED	-	1	100 MB	1	21ms	65.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daCarCris1_1)	COMPLETED	-	1	100 MB	1	17ms	78.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daCarCris1_1)	COMPLETED	-	2	12 GB	1	5.9s	94.5%	0.0%	222 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daCarCris1_1)	COMPLETED	-	1	100 MB	1	0ms	37.3%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (daCarCris1_1)	COMPLETED	-	2	12 GB	1	2s	121.6%	0.1%	264.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daCarCris1_1)	COMPLETED	-	2	12 GB	1	3s	71.9%	0.0%	112.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (daCarCris1_1)	COMPLETED	-	1	6 GB	1	7s	91.8%	0.0%	7.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (daCarCris1_1)	COMPLETED	-	2	12 GB	1	30ms	98.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (daCarCris1_1)	COMPLETED	-	1	6 GB	1	0ms	90.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (daCarCris1_1)	COMPLETED	-	2	12 GB	1	18ms	124.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (daCarCris1_1)	COMPLETED	-	2	12 GB	1	21ms	66.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (daCarCris1_1)	COMPLETED	-	1	1 GB	1	0ms	40.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (daCarCris1_1)	COMPLETED	-	2	12 GB	1	151ms	50.9%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daCarCris1_1)	COMPLETED	-	1	1 GB	1	0ms	53.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daCarCris1_1)	COMPLETED	-	1	100 MB	1	27ms	46.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (daCarCris1_1)	COMPLETED	-	2	12 GB	1	39s	97.9%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (daCarCris1_1)	COMPLETED	-	6	3 GB	1	4m 11s	100.9%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (daCarCris1_1)	COMPLETED	-	1	1 GB	1	11m 59s	98.6%	0.1%	271.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (daCarCris1_1)	COMPLETED	-	2	12 GB	1	5s	97.6%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (daCarCris1_1)	COMPLETED	-	1	15 GB	1	4s	96.4%	0.5%	1.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (daCarCris1_1)	COMPLETED	-	2	12 GB	1	1.2s	95.9%	0.0%	8.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (daCarCris1_1)	COMPLETED	-	2	12 GB	1	3.6s	158.7%	0.1%	396.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (daCarCris1_1)	COMPLETED	-	2	12 GB	1	3.5s	135.4%	0.0%	9.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (daCarCris1_1)	COMPLETED	-	1	6 GB	1	5s	93.0%	0.0%	13.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (daCarCris1_1)	COMPLETED	-	1	1 GB	1	7s	94.2%	0.0%	12.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (daCarCris1_1)	COMPLETED	-	2	12 GB	1	68ms	60.2%	0.0%	8.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	32 GB	1	17m 5s	99.5%	1.5%	24.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (daCarCris1_1)	COMPLETED	-	2	1 GB	1	0ms	97.5%	0.0%	3.1 MB
