---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   distracted_archimedes
Pipeline_session:   b8a099f4-b046-4c9f-90ce-28ca94312091
Pipeline_duration:  21714
Pipeline_datastrt:  2024-03-13T02:49:24.265199Z
Pipeline_datecomp:  2024-03-13T08:51:18.799655Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daGalApar1_3
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_aparine/assembly/draft/treeval/daGalApar1_3/daGalApar1_3.yaml
InputAssemblyData:  [[id:daGalApar1_3, sz:1739379029, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_aparine/assembly/draft/treeval/daGalApar1_3/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[271401771, 2334485484, 13623755890]], [/lustre/scratch124/tol/projects/darwin/data/dicots/Galium_aparine/assembly/draft/treeval/daGalApar1_3/working/work/d3/ab4f40da170a9326cf46a13c2cb670/in/m64097e_210206_135124.ccs.bc1020_BAK8B_OA--bc1020_BAK8B_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_aparine/assembly/draft/treeval/daGalApar1_3/working/work/d3/ab4f40da170a9326cf46a13c2cb670/in/m64222e_210516_011908.ccs.bc1003_BAK8A_OA--bc1003_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_aparine/assembly/draft/treeval/daGalApar1_3/working/work/d3/ab4f40da170a9326cf46a13c2cb670/in/m84098_230922_133354_s4.ccs.bc2064.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:41597844595, cn:9], /lustre/scratch124/tol/projects/darwin/data/dicots/Galium_aparine/assembly/draft/treeval/daGalApar1_3/working/work/46/fdc069b5ddefd7a89502a4da7641d5/in/47550_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daGalApar1_3)	COMPLETED	-	1	100 MB	1	35ms	102.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daGalApar1_3)	COMPLETED	-	1	100 MB	1	31ms	87.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daGalApar1_3)	COMPLETED	-	1	100 MB	1	42ms	88.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (daGalApar1_3)	COMPLETED	-	1	100 MB	1	37ms	98.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daGalApar1_3)	COMPLETED	-	1	100 MB	1	0ms	27.9%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daGalApar1_3)	COMPLETED	-	2	12 GB	1	3s	65.0%	0.0%	75.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daGalApar1_3)	COMPLETED	-	2	12 GB	1	8.1s	95.9%	0.0%	176 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (daGalApar1_3)	COMPLETED	-	1	6 GB	1	6s	97.1%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daGalApar1_3)	COMPLETED	-	1	1 GB	1	0ms	46.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daGalApar1_3)	COMPLETED	-	1	100 MB	1	28ms	25.0%	0.0%	2.8 MB
