---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   sleepy_babbage
Pipeline_session:   c99b98d8-334c-4572-9657-b3aa47531b84
Pipeline_duration:  47780
Pipeline_datastrt:  2024-04-15T03:43:28.497210+01:00
Pipeline_datecomp:  2024-04-15T16:59:48.670960+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daLeoHisp1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/daLeoHisp1_2.yaml
InputAssemblyData:  [[id:daLeoHisp1_2, sz:4102149310, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6004754549, 148705613, 2411917911, 7916008736]], [/lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/working/work/50/f03f1dbc434fc769984f9bad45b460/in/m64222e_231017_031758.ccs.bc2079--bc2079.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/working/work/50/f03f1dbc434fc769984f9bad45b460/in/m64230e_220812_124944.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/working/work/50/f03f1dbc434fc769984f9bad45b460/in/m64230e_220814_205050.ccs.bc1010_BAK8A_OA--bc1010_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/working/work/50/f03f1dbc434fc769984f9bad45b460/in/m84098_240304_121110_s1.ccs.bc2079.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:65248334236, cn:14], /lustre/scratch124/tol/projects/darwin/data/dicots/Leontodon_hispidus/assembly/draft/treeval/daLeoHisp1_2/working/work/07/529db4fe2251e8b7a2419b8ed64d66/in/45428_1#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daLeoHisp1_2)	COMPLETED	-	1	100 MB	1	132ms	72.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daLeoHisp1_2)	COMPLETED	-	1	100 MB	1	125ms	71.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (daLeoHisp1_2)	COMPLETED	-	1	100 MB	1	93ms	56.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daLeoHisp1_2)	COMPLETED	-	1	100 MB	1	116ms	67.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daLeoHisp1_2)	COMPLETED	-	1	100 MB	1	1s	26.1%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daLeoHisp1_2)	COMPLETED	-	2	12 GB	1	14s	80.2%	0.1%	394.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daLeoHisp1_2)	COMPLETED	-	1	1 GB	1	0ms	31.9%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daLeoHisp1_2)	COMPLETED	-	1	100 MB	1	51ms	26.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (daLeoHisp1_2)	COMPLETED	-	1	6 GB	1	34s	85.5%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daLeoHisp1_2)	COMPLETED	-	2	12 GB	1	36.2s	90.3%	0.2%	788.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (daLeoHisp1_2)	COMPLETED	-	1	6 GB	1	1s	93.4%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (daLeoHisp1_2)	COMPLETED	-	2	12 GB	1	60ms	21.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (daLeoHisp1_2)	COMPLETED	-	2	12 GB	1	15ms	75.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (daLeoHisp1_2)	COMPLETED	-	2	12 GB	1	359ms	177.6%	0.0%	21.8 MB
