---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   determined_varahamihira
Pipeline_session:   89604241-1c7c-41ac-85cf-24f65c158f29
Pipeline_duration:  252041
Pipeline_datastrt:  2023-11-14T10:18:41.695013Z
Pipeline_datecomp:  2023-11-17T08:19:23.662888Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      daLogMini1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/daLogMini1_1.yaml
InputAssemblyData:  [[id:daLogMini1_1, sz:491502645, ln:dicots, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/dicots/Logfia_minima/assembly/draft/treeval/daLogMini1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7074630206], /lustre/scratch124/tol/projects/darwin/data/dicots/Logfia_minima/assembly/draft/treeval/daLogMini1_1/working/work/53/2fc22d1cb3425912f68b56779efd53/in/m64016e_230422_014516.ccs.bc2037--bc2037.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32874142734], /lustre/scratch124/tol/projects/darwin/data/dicots/Logfia_minima/assembly/draft/treeval/daLogMini1_1/working/work/c1/55742aecbcf224381d230c66dbd64a/in/47488_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (daLogMini1_1)	COMPLETED	-	1	6 GB	1	34ms	107.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (daLogMini1_1)	COMPLETED	-	1	6 GB	1	37ms	78.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (daLogMini1_1)	COMPLETED	-	1	6 GB	1	41ms	91.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (daLogMini1_1)	COMPLETED	-	2	12 GB	1	0ms	72.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (daLogMini1_1)	COMPLETED	-	2	12 GB	1	4.1s	95.8%	0.0%	138.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (daLogMini1_1)	COMPLETED	-	1	6 GB	1	2s	95.7%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (daLogMini1_1)	COMPLETED	-	2	12 GB	1	0ms	96.5%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (daLogMini1_1)	COMPLETED	-	2	12 GB	1	14ms	68.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (daLogMini1_1)	COMPLETED	-	2	12 GB	1	1s	148.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (daLogMini1_1)	COMPLETED	-	2	12 GB	1	15ms	43.5%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (daLogMini1_1)	COMPLETED	-	2	12 GB	1	13ms	74.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (daLogMini1_1)	COMPLETED	-	1	6 GB	1	0ms	35.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	16s	188.9%	0.5%	3.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (daLogMini1_1)	COMPLETED	-	2	12 GB	1	21ms	89.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (daLogMini1_1)	COMPLETED	-	1	6 GB	1	0ms	79.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (daLogMini1_1)	COMPLETED	-	2	12 GB	1	192ms	11.4%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (daLogMini1_1)	COMPLETED	-	2	12 GB	1	21s	97.2%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (daLogMini1_1)	COMPLETED	-	1	6 GB	1	0ms	69.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (daLogMini1_1)	COMPLETED	-	2	12 GB	1	62ms	89.1%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (daLogMini1_1)	COMPLETED	-	2	12 GB	1	2m 11s	99.4%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (daLogMini1_1)	COMPLETED	-	2	12 GB	1	3m 11s	99.6%	0.1%	246.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	5m 35s	98.6%	1.4%	10.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (daLogMini1_1)	COMPLETED	-	2	12 GB	1	10s	99.4%	0.0%	5.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (daLogMini1_1)	COMPLETED	-	1	6 GB	1	3s	93.8%	0.2%	812 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (daLogMini1_1)	COMPLETED	-	2	12 GB	1	579ms	100.3%	0.0%	4.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (daLogMini1_1)	COMPLETED	-	2	12 GB	1	2.7s	184.4%	0.1%	249.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (daLogMini1_1)	COMPLETED	-	2	12 GB	1	2.1s	140.1%	0.0%	9.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (daLogMini1_1)	COMPLETED	-	1	6 GB	1	2s	93.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REPLACE_DOTS (daLogMini1_1)	COMPLETED	-	2	12 GB	1	44ms	73.4%	0.0%	5.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (daLogMini1_1)	COMPLETED	-	2	20 GB	1	0ms	91.7%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (daLogMini1_1)	COMPLETED	-	25	100 GB	1	5m 16s	811.3%	7.5%	28.6 GB
