---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   friendly_morse
Pipeline_session:   6499d093-92bb-4c63-bccf-77e3d57ce752
Pipeline_duration:  18525
Pipeline_datastrt:  2024-04-22T11:51:15.241679+01:00
Pipeline_datecomp:  2024-04-22T17:00:00.298274+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daVerPers1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_persica/assembly/draft/treeval/daVerPers1_2/daVerPers1_2.yaml
InputAssemblyData:  [[id:daVerPers1_2, sz:1242919015, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_persica/assembly/draft/treeval/daVerPers1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5199140541], /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_persica/assembly/draft/treeval/daVerPers1_2/working/work/9a/64e68fce7a1b6688bd2972b086b73f/in/m84098_240311_131042_s4.ccs.bc2012.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35811103114, cn:8], /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_persica/assembly/draft/treeval/daVerPers1_2/working/work/d4/31d1e4af032ce7d619c2f9ab1d047a/in/46219_2#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daVerPers1_2)	COMPLETED	-	1	100 MB	1	69ms	58.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daVerPers1_2)	COMPLETED	-	1	100 MB	1	74ms	47.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (daVerPers1_2)	COMPLETED	-	1	100 MB	1	47ms	52.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daVerPers1_2)	COMPLETED	-	1	100 MB	1	58ms	61.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daVerPers1_2)	COMPLETED	-	1	100 MB	1	1s	21.3%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daVerPers1_2)	COMPLETED	-	2	12 GB	1	1s	98.0%	0.0%	52.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (daVerPers1_2)	COMPLETED	-	1	6 GB	1	5s	96.4%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daVerPers1_2)	COMPLETED	-	2	12 GB	1	7s	92.5%	0.0%	105.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (daVerPers1_2)	COMPLETED	-	2	12 GB	1	14ms	97.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (daVerPers1_2)	COMPLETED	-	2	12 GB	1	13ms	76.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (daVerPers1_2)	COMPLETED	-	2	12 GB	1	17s	96.2%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (daVerPers1_2)	COMPLETED	-	2	12 GB	1	15s	100.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daVerPers1_2)	COMPLETED	-	1	1 GB	1	0ms	45.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daVerPers1_2)	COMPLETED	-	1	100 MB	1	21ms	58.4%	0.0%	0
