---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   distracted_jones
Pipeline_session:   355b6ca8-7c34-4f99-8a0b-bace47975e4f
Pipeline_duration:  14534
Pipeline_datastrt:  2024-06-13T17:10:22.734518+01:00
Pipeline_datecomp:  2024-06-13T21:12:37.033002+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daVerSerp1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_serpyllifolia/assembly/draft/treeval/daVerSerp1_2/daVerSerp1_2.yaml
InputAssemblyData:  [[id:daVerSerp1_2, sz:727540285, ln:, tk:null], /lustre/scratch122/tol/data/9/5/2/c/6/7/Veronica_serpyllifolia/assembly/draft/treeval/daVerSerp1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[357639480, 5450893065]], [/lustre/scratch122/tol/data/9/5/2/c/6/7/Veronica_serpyllifolia/assembly/draft/treeval/daVerSerp1_2/working/work/fe/604635bc0453be7ddf2faab695affd/in/m64016e_220911_234133.ccs.bc1021_BAK8B_OA--bc1021_BAK8B_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/9/5/2/c/6/7/Veronica_serpyllifolia/assembly/draft/treeval/daVerSerp1_2/working/work/fe/604635bc0453be7ddf2faab695affd/in/m64230e_230725_184242.ccs.bc2043--bc2043.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:27771575954, cn:6], /lustre/scratch122/tol/data/9/5/2/c/6/7/Veronica_serpyllifolia/assembly/draft/treeval/daVerSerp1_2/working/work/16/7cd2552198932bacbfefe42a4b439c/in/45523_1#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daVerSerp1_2)	COMPLETED	-	1	100 MB	1	11ms	109.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daVerSerp1_2)	COMPLETED	-	1	100 MB	1	10ms	81.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daVerSerp1_2)	COMPLETED	-	1	100 MB	1	12ms	133.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daVerSerp1_2)	COMPLETED	-	2	12 GB	1	1s	73.7%	0.0%	91 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daVerSerp1_2)	COMPLETED	-	1	100 MB	1	0ms	66.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daVerSerp1_2)	COMPLETED	-	2	12 GB	1	4.2s	94.3%	0.0%	191.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (daVerSerp1_2)	COMPLETED	-	1	6 GB	1	5s	95.0%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daVerSerp1_2)	COMPLETED	-	1	1 GB	1	0ms	44.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daVerSerp1_2)	COMPLETED	-	1	100 MB	1	34ms	20.5%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (daVerSerp1_2)	COMPLETED	-	2	12 GB	1	22ms	63.1%	0.0%	2.6 MB
