---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   reverent_northcutt
Pipeline_session:   8eaba671-1502-4295-8d2d-ac6fd8b2c122
Pipeline_duration:  13548
Pipeline_datastrt:  2024-04-29T17:17:39.514043+01:00
Pipeline_datecomp:  2024-04-29T21:03:28.129833+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      daVerVern1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_verna/assembly/draft/treeval/daVerVern1_1/daVerVern1_1.yaml
InputAssemblyData:  [[id:daVerVern1_1, sz:471683527, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_verna/assembly/draft/treeval/daVerVern1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7622020947], /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_verna/assembly/draft/treeval/daVerVern1_1/working/work/15/a86e0046b54adf709fb15518ab1917/in/m84093_231013_104154_s1.ccs.bc2064.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[18833695245, 16598984471], cn:9], [/lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_verna/assembly/draft/treeval/daVerVern1_1/working/work/82/474c4550d4c88762edc71b67790775/in/48359_8#1.cram, /lustre/scratch124/tol/projects/darwin/data/dicots/Veronica_verna/assembly/draft/treeval/daVerVern1_1/working/work/82/474c4550d4c88762edc71b67790775/in/48387_1#1.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (daVerVern1_1)	COMPLETED	-	1	100 MB	1	39ms	88.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (daVerVern1_1)	COMPLETED	-	1	100 MB	1	36ms	98.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (daVerVern1_1)	COMPLETED	-	1	100 MB	1	47ms	78.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (daVerVern1_1)	COMPLETED	-	2	12 GB	1	0ms	96.7%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (daVerVern1_1)	COMPLETED	-	1	100 MB	1	1s	21.8%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (daVerVern1_1)	COMPLETED	-	2	12 GB	1	3.5s	89.0%	0.0%	127.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (daVerVern1_1)	COMPLETED	-	1	6 GB	1	3s	94.2%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (daVerVern1_1)	COMPLETED	-	1	100 MB	1	29ms	24.5%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (daVerVern1_1)	COMPLETED	-	1	1 GB	1	0ms	55.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (daVerVern1_1)	COMPLETED	-	2	12 GB	1	15ms	45.7%	0.0%	2.8 MB
