---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   golden_mclean
Pipeline_session:   a4ec1116-b838-4e23-8655-35db2f335339
Pipeline_duration:  8755
Pipeline_datastrt:  2024-03-21T23:35:01.477960760Z
Pipeline_datecomp:  2024-03-22T02:00:57.474075582Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ddCalVulg4_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/ddCalVulg4_2.yaml
InputAssemblyData:  [[id:ddCalVulg4_2, sz:530057397, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Calluna_vulgaris/assembly/draft/treeval/ddCalVulg4_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[6242537308, 293784794]], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/04/8c4eb079e0a6a1d3e17f1a52cde111/in/m84093_240307_122844_s1.ccs.bc2091.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/04/8c4eb079e0a6a1d3e17f1a52cde111/in/m84098_240314_125849_s2.ccs.bc2036.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:29123191692, cn:6], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/fc/bee04087341ba9e7d821cbbdb5b298/in/47489_2#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ddCalVulg4_2)	COMPLETED	-	1	100 MB	1	181ms	21.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ddCalVulg4_2)	COMPLETED	-	1	100 MB	1	250ms	17.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ddCalVulg4_2)	COMPLETED	-	1	100 MB	1	188ms	19.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ddCalVulg4_2)	COMPLETED	-	1	100 MB	1	221ms	20.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ddCalVulg4_2)	COMPLETED	-	2	12 GB	1	1s	90.8%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ddCalVulg4_2)	COMPLETED	-	1	6 GB	1	2s	97.2%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ddCalVulg4_2)	COMPLETED	-	2	12 GB	1	3.1s	90.9%	0.0%	166.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ddCalVulg4_2)	COMPLETED	-	1	100 MB	1	1s	23.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ddCalVulg4_2)	COMPLETED	-	1	1 GB	1	0ms	35.4%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ddCalVulg4_2)	COMPLETED	-	1	100 MB	1	31ms	13.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ddCalVulg4_2)	COMPLETED	-	2	12 GB	1	16ms	42.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ddCalVulg4_2)	COMPLETED	-	2	12 GB	1	16ms	72.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ddCalVulg4_2)	COMPLETED	-	1	6 GB	1	0ms	73.1%	0.0%	3.1 MB
