---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   goofy_fermi
Pipeline_session:   c186cd46-873b-4b50-a282-4e7ae2af70c0
Pipeline_duration:  33564
Pipeline_datastrt:  2024-03-05T15:40:07.239347Z
Pipeline_datecomp:  2024-03-06T00:59:32.201871Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ddHypAndr1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Hypericum_androsaemum/assembly/draft/treeval/ddHypAndr1_1/ddHypAndr1_1.yaml
InputAssemblyData:  [[id:ddHypAndr1_1, sz:393201140, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Hypericum_androsaemum/assembly/draft/treeval/ddHypAndr1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:4480440245], /lustre/scratch124/tol/projects/darwin/data/dicots/Hypericum_androsaemum/assembly/draft/treeval/ddHypAndr1_1/working/work/cf/659b341cbd9adcb57673fc66b82f52/in/m84047_240209_114632_s1.ccs.bc2069.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37225120399, cn:8], /lustre/scratch124/tol/projects/darwin/data/dicots/Hypericum_androsaemum/assembly/draft/treeval/ddHypAndr1_1/working/work/55/4c63d2c765bab062b624a9d08189c9/in/46307_1#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ddHypAndr1_1)	COMPLETED	-	1	100 MB	1	35ms	83.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ddHypAndr1_1)	COMPLETED	-	1	100 MB	1	30ms	91.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ddHypAndr1_1)	COMPLETED	-	1	100 MB	1	38ms	92.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (ddHypAndr1_1)	COMPLETED	-	1	100 MB	1	34ms	126.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ddHypAndr1_1)	COMPLETED	-	1	100 MB	1	0ms	25.0%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ddHypAndr1_1)	COMPLETED	-	2	12 GB	1	3.1s	78.4%	0.0%	58.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ddHypAndr1_1)	COMPLETED	-	2	12 GB	1	1s	97.2%	0.0%	31.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ddHypAndr1_1)	COMPLETED	-	1	6 GB	1	2s	95.5%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ddHypAndr1_1)	COMPLETED	-	1	1 GB	1	0ms	16.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ddHypAndr1_1)	COMPLETED	-	1	100 MB	1	26ms	25.0%	0.0%	0
