---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   sad_kay
Pipeline_session:   319c4c22-98f4-409a-9dc2-160bc8009c03
Pipeline_duration:  26170
Pipeline_datastrt:  2024-06-18T08:45:29.052909+01:00
Pipeline_datecomp:  2024-06-18T16:01:39.220215+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ddLinBien1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Linum_bienne/assembly/draft/treeval/ddLinBien1_1/ddLinBien1_1.yaml
InputAssemblyData:  [[id:ddLinBien1_1, sz:494925323, ln:, tk:null], /lustre/scratch122/tol/data/b/6/0/0/9/a/Linum_bienne/assembly/draft/treeval/ddLinBien1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:2679495574], /lustre/scratch122/tol/data/b/6/0/0/9/a/Linum_bienne/assembly/draft/treeval/ddLinBien1_1/working/work/6f/f501d2807fb8dd05b44b28cd32ad72/in/m84093_240224_145729_s2.ccs.bc2072.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:48161399267, cn:11], /lustre/scratch122/tol/data/b/6/0/0/9/a/Linum_bienne/assembly/draft/treeval/ddLinBien1_1/working/work/b5/2d84ce20bcee7f13ba83b7aafde48f/in/40778_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ddLinBien1_1)	COMPLETED	-	1	100 MB	1	9ms	87.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ddLinBien1_1)	COMPLETED	-	1	100 MB	1	9ms	107.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ddLinBien1_1)	COMPLETED	-	1	100 MB	1	10ms	157.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ddLinBien1_1)	COMPLETED	-	1	100 MB	1	0ms	40.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (ddLinBien1_1)	COMPLETED	-	1	6 GB	1	3s	94.7%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	4.2s	98.7%	0.0%	95.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	1s	63.4%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	7s	97.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ddLinBien1_1)	COMPLETED	-	1	6 GB	1	0ms	77.0%	0.0%	7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	13ms	92.1%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	13ms	120.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (ddLinBien1_1)	COMPLETED	-	1	1 GB	1	0ms	46.5%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ddLinBien1_1)	COMPLETED	-	1	100 MB	1	23ms	27.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	1s	128.2%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	61ms	74.4%	0.0%	9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	22ms	87.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (ddLinBien1_1)	COMPLETED	-	1	1 GB	1	0ms	41.9%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ddLinBien1_1)	COMPLETED	-	6	1.5 GB	1	1m 42s	100.0%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (ddLinBien1_1)	COMPLETED	-	25	100 GB	1	2m 59s	706.7%	3.0%	11.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	14 GB	1	3m 59s	98.4%	2.9%	10.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (ddLinBien1_1)	COMPLETED	-	1	1 GB	1	2m 47s	98.8%	0.0%	190.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (ddLinBien1_1)	COMPLETED	-	20	100 GB	1	57.8s	914.2%	0.8%	6.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	4s	97.8%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ddLinBien1_1)	COMPLETED	-	1	15 GB	1	1s	92.5%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	449ms	78.2%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	1.2s	184.4%	0.0%	114.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	1s	135.5%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (ddLinBien1_1)	COMPLETED	-	1	1 GB	1	2s	93.3%	0.0%	9.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (ddLinBien1_1)	COMPLETED	-	1	6 GB	1	1s	93.4%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (ddLinBien1_1)	COMPLETED	-	2	12 GB	1	30ms	95.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (ddLinBien1_1)	COMPLETED	-	2	1 GB	1	0ms	70.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	23m 2s	1536.8%	7.4%	29 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 5m 50s	1546.3%	15.1%	29.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 6m 3s	1540.7%	1.9%	30.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 9m 56s	1539.2%	1.8%	29.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 10m 43s	1521.1%	7.5%	29.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 13m 55s	1549.2%	7.5%	29.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 14m 16s	1549.6%	7.6%	29.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 14m 33s	1551.0%	15.2%	29.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 15m 41s	1550.6%	7.6%	29 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 16m 1s	1550.6%	7.5%	29.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	1h 18m 52s	1534.2%	15.4%	29.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:SAMTOOLS_MERGE (ddLinBien1_1)	COMPLETED	-	16	50 GB	1	21m 33s	818.8%	0.0%	43.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BAMTOBED_COOLER:SAMTOOLS_MARKDUP (ddLinBien1_1)	COMPLETED	-	12	225 GB	1	30m 44s	711.3%	0.1%	432.9 MB
