---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   cranky_panini
Pipeline_session:   5885af81-fcab-4576-9e53-34b30477e6dc
Pipeline_duration:  286606
Pipeline_datastrt:  2023-11-14T14:04:07.718432Z
Pipeline_datecomp:  2023-11-17T21:40:54.450110Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ddPriVeri1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ddPriVeri1_1.yaml
InputAssemblyData:  [[id:ddPriVeri1_1, sz:444159173, ln:dicots, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/dicots/Primula_veris/assembly/draft/treeval/ddPriVeri1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5369920930], /lustre/scratch124/tol/projects/darwin/data/dicots/Primula_veris/assembly/draft/treeval/ddPriVeri1_1/working/work/61/a480a533bf550238dfadce6026077c/in/m64125e_230927_213501.ccs.bc2087--bc2087.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40390681161], /lustre/scratch124/tol/projects/darwin/data/dicots/Primula_veris/assembly/draft/treeval/ddPriVeri1_1/working/work/f1/d3af30f1dd07ce5dbbac4ac5909e56/in/46311_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ddPriVeri1_1)	COMPLETED	-	1	6 GB	1	53ms	54.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ddPriVeri1_1)	COMPLETED	-	1	6 GB	1	59ms	58.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ddPriVeri1_1)	COMPLETED	-	1	6 GB	1	69ms	53.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ddPriVeri1_1)	COMPLETED	-	1	6 GB	1	2s	87.9%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ddPriVeri1_1)	COMPLETED	-	2	12 GB	1	0ms	93.9%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ddPriVeri1_1)	COMPLETED	-	2	12 GB	1	0ms	66.5%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ddPriVeri1_1)	COMPLETED	-	2	12 GB	1	3.7s	91.1%	0.0%	164.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ddPriVeri1_1)	COMPLETED	-	2	12 GB	1	26ms	55.9%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ddPriVeri1_1)	COMPLETED	-	2	12 GB	1	34ms	38.0%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ddPriVeri1_1)	COMPLETED	-	2	12 GB	1	13ms	74.9%	0.0%	0
