---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   hopeful_morse
Pipeline_session:   d207fe1e-5da2-415c-b6ba-2e29c021becc
Pipeline_duration:  18607
Pipeline_datastrt:  2024-03-09T22:29:16.636973198Z
Pipeline_datecomp:  2024-03-10T03:39:23.841519575Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      drFraAlnu1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/drFraAlnu1_2.yaml
InputAssemblyData:  [[id:drFraAlnu1_1, sz:569621644, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Frangula_alnus/assembly/draft/treeval/drFraAlnu1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:7217050324], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/ed/2ca2191ac276694a5ad06e5c213ff4/in/m84093_240210_123227_s2.ccs.bc2012.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39548430088, cn:8], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/ff/3db0ad8faa074acb85a4f6ca210638/in/46585_1#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (drFraAlnu1_1)	COMPLETED	-	1	100 MB	1	95ms	33.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (drFraAlnu1_1)	COMPLETED	-	1	100 MB	1	219ms	21.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (drFraAlnu1_1)	COMPLETED	-	1	100 MB	1	166ms	26.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (drFraAlnu1_1)	COMPLETED	-	1	100 MB	1	232ms	20.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (drFraAlnu1_1)	COMPLETED	-	1	100 MB	1	1s	29.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	1s	90.5%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	3.5s	93.7%	0.0%	150.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (drFraAlnu1_1)	COMPLETED	-	1	6 GB	1	2s	96.2%	0.0%	4.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (drFraAlnu1_1)	COMPLETED	-	1	1 GB	1	0ms	37.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (drFraAlnu1_1)	COMPLETED	-	1	100 MB	1	33ms	32.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	14ms	0.0%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (drFraAlnu1_1)	COMPLETED	-	1	6 GB	1	0ms	83.0%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	13ms	61.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	1s	141.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	18s	100.0%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	19s	99.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	53ms	83.1%	0.0%	9.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (drFraAlnu1_1)	COMPLETED	-	2	12 GB	1	22ms	50.0%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (drFraAlnu1_1)	COMPLETED	-	1	1 GB	1	0ms	38.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (drFraAlnu1_1)	COMPLETED	-	6	1.5 GB	1	2m 5s	99.6%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (merged.fa)	COMPLETED	-	1	16 GB	1	4m 12s	98.5%	3.3%	12.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (drFraAlnu1_1)	COMPLETED	-	25	100 GB	1	4m 9s	569.1%	3.4%	14.7 GB
