---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   soggy_engelbart
Pipeline_session:   4a475b0b-c5d0-4a3b-9407-417bc75bb886
Pipeline_duration:  26485
Pipeline_datastrt:  2024-06-17T12:21:13.421472+01:00
Pipeline_datecomp:  2024-06-17T19:42:39.001054+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      drGeuRiva1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/drGeuRiva1_2.yaml
InputAssemblyData:  [[id:drGeuRiva1_2, sz:2114058793, ln:, tk:null], /lustre/scratch122/tol/data/2/e/c/a/a/8/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[1016405808, 805552801, 2026092309, 14433200059]], [/lustre/scratch122/tol/data/2/e/c/a/a/8/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/working/work/6c/a81e980c42f4d22a43f76bcc9dd691/in/m64089e_211112_101947.ccs.bc1016_BAK8B_OA--bc1016_BAK8B_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/2/e/c/a/a/8/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/working/work/6c/a81e980c42f4d22a43f76bcc9dd691/in/m64125e_210429_151953.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/2/e/c/a/a/8/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/working/work/6c/a81e980c42f4d22a43f76bcc9dd691/in/m64221e_211105_030157.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/2/e/c/a/a/8/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/working/work/6c/a81e980c42f4d22a43f76bcc9dd691/in/m84047_230829_123642_s1.ccs.bc2082.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:35621953179, cn:8], /lustre/scratch122/tol/data/2/e/c/a/a/8/Geum_rivale/assembly/draft/treeval/drGeuRiva1_2/working/work/21/3fe323272b662d01cf705f7aac8897/in/39409_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (drGeuRiva1_2)	COMPLETED	-	1	100 MB	1	28ms	44.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (drGeuRiva1_2)	COMPLETED	-	1	100 MB	1	20ms	40.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (drGeuRiva1_2)	COMPLETED	-	1	100 MB	1	32ms	42.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (drGeuRiva1_2)	COMPLETED	-	1	100 MB	1	1s	30.2%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (drGeuRiva1_2)	COMPLETED	-	2	12 GB	1	5s	56.5%	0.0%	74.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (drGeuRiva1_2)	COMPLETED	-	1	6 GB	1	8s	96.5%	0.0%	5.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (drGeuRiva1_2)	COMPLETED	-	1	100 MB	1	31ms	44.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (drGeuRiva1_2)	COMPLETED	-	2	12 GB	1	12.4s	98.3%	0.0%	145.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (drGeuRiva1_2)	COMPLETED	-	1	1 GB	1	0ms	58.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (drGeuRiva1_2)	COMPLETED	-	2	12 GB	1	606ms	1.6%	0.0%	2.8 MB
