---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   chaotic_stallman
Pipeline_session:   fa8f5985-58b5-4506-8df6-c37f29eb958f
Pipeline_duration:  9901
Pipeline_datastrt:  2024-04-13T13:09:37.071765+01:00
Pipeline_datecomp:  2024-04-13T15:54:38.386272+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      drHydVulg1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Hydrocotyle_vulgaris/assembly/draft/treeval/drHydVulg1_1/drHydVulg1_1.yaml
InputAssemblyData:  [[id:drHydVulg1_1, sz:886809377, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Hydrocotyle_vulgaris/assembly/draft/treeval/drHydVulg1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:9624537700], /lustre/scratch124/tol/projects/darwin/data/dicots/Hydrocotyle_vulgaris/assembly/draft/treeval/drHydVulg1_1/working/work/67/319c5592e36be05f086a80216568b0/in/m84093_240315_124959_s1.ccs.bc2045.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:29257294617, cn:6], /lustre/scratch124/tol/projects/darwin/data/dicots/Hydrocotyle_vulgaris/assembly/draft/treeval/drHydVulg1_1/working/work/9d/a6448e2b98525c1a41188e66b5b353/in/47590_2#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (drHydVulg1_1)	COMPLETED	-	1	100 MB	1	45ms	79.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (drHydVulg1_1)	COMPLETED	-	1	100 MB	1	46ms	95.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (drHydVulg1_1)	COMPLETED	-	1	100 MB	1	40ms	107.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (drHydVulg1_1)	COMPLETED	-	1	100 MB	1	40ms	89.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (drHydVulg1_1)	COMPLETED	-	1	100 MB	1	1s	21.2%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (drHydVulg1_1)	COMPLETED	-	2	12 GB	1	1s	91.0%	0.0%	51 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (drHydVulg1_1)	COMPLETED	-	2	12 GB	1	4.2s	94.6%	0.0%	97.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (drHydVulg1_1)	COMPLETED	-	1	1 GB	1	0ms	50.8%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (drHydVulg1_1)	COMPLETED	-	1	100 MB	1	40ms	17.3%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (drHydVulg1_1)	COMPLETED	-	1	6 GB	1	6s	96.1%	0.0%	4.7 MB
