---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   drunk_lichterman
Pipeline_session:   cb7f93cb-7758-47e5-bf6d-e3ec6047be71
Pipeline_duration:  24732
Pipeline_datastrt:  2024-01-31T13:29:03.072816Z
Pipeline_datecomp:  2024-01-31T20:21:15.354769Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      drLatApha1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/drLatApha1_1.yaml
InputAssemblyData:  [[id:drLatApha1_1, sz:4323259895, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Lathyrus_aphaca/assembly/draft/treeval/drLatApha1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[244721795, 17726717790, 16210510877, 17500559508]], [/lustre/scratch124/tol/projects/darwin/data/dicots/Lathyrus_aphaca/assembly/draft/treeval/drLatApha1_1/working/work/ea/9883f24a9166e5fa07f2938e9b539c/in/m64228e_220804_013200.ccs.bc1020_BAK8B_OA--bc1020_BAK8B_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Lathyrus_aphaca/assembly/draft/treeval/drLatApha1_1/working/work/ea/9883f24a9166e5fa07f2938e9b539c/in/m84047_230710_125039_s4.ccs.bc2055.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Lathyrus_aphaca/assembly/draft/treeval/drLatApha1_1/working/work/ea/9883f24a9166e5fa07f2938e9b539c/in/m84093_230915_132209_s1.ccs.bc2055.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/dicots/Lathyrus_aphaca/assembly/draft/treeval/drLatApha1_1/working/work/ea/9883f24a9166e5fa07f2938e9b539c/in/m84098_230915_132614_s1.ccs.bc2055.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:313469926533, cn:62], /lustre/scratch124/tol/projects/darwin/data/dicots/Lathyrus_aphaca/assembly/draft/treeval/drLatApha1_1/working/work/8f/c8308529f50692fa81100bc7abd103/in/45850_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	122 GB	1	1h 1m 13s	100.7%	6.3%	95.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (drLatApha1_1)	CACHED	-	2	12 GB	1	6s	98.4%	0.2%	716.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (drLatApha1_1)	CACHED	-	1	100 MB	1	41ms	106.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (drLatApha1_1)	CACHED	-	2	12 GB	1	23m 45s	100.0%	1.3%	5.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (input/ref.fa)	CACHED	-	1	6 GB	1	18s	97.8%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (drLatApha1_1)	CACHED	-	1	100 MB	1	1s	42.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:GrabFiles (drLatApha1_1)	CACHED	-	1	100 MB	1	36ms	114.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (drLatApha1_1)	CACHED	-	1	100 MB	1	42ms	102.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:GrabFiles (drLatApha1_1)	CACHED	-	1	100 MB	1	35ms	100.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (drLatApha1_1)	CACHED	-	2	12 GB	1	34m 1s	99.9%	0.7%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (drLatApha1_1)	CACHED	-	2	12 GB	1	22.8s	98.8%	0.4%	1.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (drLatApha1_1)	CACHED	-	2	12 GB	1	2m 59s	95.8%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:CAT_CAT (drLatApha1_1)	CACHED	-	2	12 GB	1	2m 56s	95.5%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (drLatApha1_1)	CACHED	-	1	100 MB	1	32ms	38.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:MINIMAP2_ALIGN (drLatApha1_1)	CACHED	-	20	50 GB	1	5h 38m 22s	1642.9%	4.2%	16 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 20m 48s	1520.7%	6.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (drLatApha1_1)	CACHED	-	2	12 GB	1	13s	162.1%	0.2%	853.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 15m 41s	1523.7%	6.0%	45.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 25m 39s	1513.7%	2.9%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 20m 56s	1482.6%	6.0%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 22m 47s	1463.5%	6.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 18m 49s	1521.0%	6.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:MINIMAP2_ALIGN (drLatApha1_1)	CACHED	-	20	50 GB	1	5h 43m 35s	1600.6%	4.4%	16.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (drLatApha1_1)	CACHED	-	2	12 GB	1	11s	99.5%	0.0%	6.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:MINIMAP2_ALIGN (drLatApha1_1)	CACHED	-	20	50 GB	1	6m 23s	1380.1%	3.7%	14 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:MINIMAP2_ALIGN (drLatApha1_1)	CACHED	-	20	50 GB	1	4h 1m 50s	1980.8%	4.1%	15.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 13m 17s	1524.3%	12.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 38m 10s	1398.8%	3.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 15m 33s	1522.9%	12.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 18m 50s	1437.8%	6.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 32m 29s	1382.2%	6.0%	45.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 17m 2s	1404.7%	12.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 15m 27s	1529.1%	6.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (drLatApha1_1)	CACHED	-	2	12 GB	1	17ms	69.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 19m 15s	1514.8%	6.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 40m 12s	1301.4%	6.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (drLatApha1_1)	CACHED	-	2	12 GB	1	16ms	87.7%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 19m 22s	1523.9%	6.0%	46 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 17m 25s	1527.4%	6.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 18m 8s	1522.6%	6.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 20m 24s	1515.0%	6.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 47m 53s	1297.1%	3.0%	46.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 13m 17s	1528.5%	12.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 22m 5s	1514.1%	6.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 17m	1430.7%	6.0%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (drLatApha1_1)	CACHED	-	2	12 GB	1	13ms	50.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 12m 59s	1523.3%	12.0%	45.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (drLatApha1_1)	CACHED	-	2	12 GB	1	15ms	73.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (drLatApha1_1)	CACHED	-	1	6 GB	1	1s	96.2%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 16m 46s	1531.4%	12.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (drLatApha1_1)	CACHED	-	2	12 GB	1	343ms	143.0%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (drLatApha1_1)	CACHED	-	1	2 GB	1	0ms	67.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 19m 56s	1516.1%	6.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 18m 39s	1526.6%	12.0%	46 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 12m 16s	1522.9%	11.9%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 12m 20s	1525.0%	12.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 18m 32s	1526.1%	6.0%	46.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 15m 45s	1526.2%	12.1%	46.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 8m 8s	1519.1%	12.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 20m 18s	1520.2%	2.9%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 43m 32s	1364.8%	2.9%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 27m 58s	1426.2%	6.0%	45.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (drLatApha1_1)	CACHED	-	1	2 GB	1	0ms	54.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 20m 2s	1525.5%	6.0%	45.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 36m 5s	1358.5%	6.0%	46.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 15m 30s	1523.7%	6.0%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 18m 58s	1526.1%	12.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (drLatApha1_1)	CACHED	-	1	6 GB	1	10s	96.9%	2.0%	3.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 23m 19s	1515.1%	6.0%	46.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 24m 11s	1520.8%	3.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 26m 21s	1426.6%	6.0%	45.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 21m 33s	1531.9%	6.0%	46.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 42m 27s	1368.2%	3.0%	46 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 39m 41s	1316.3%	6.0%	46.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 13m 6s	1465.9%	12.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 28m 35s	1432.9%	6.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 12m 48s	1525.8%	6.0%	45.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 23m 49s	1386.8%	12.4%	47.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 20m 3s	1520.4%	6.0%	46.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (drLatApha1_1)	CACHED	-	16	130 GB	1	1h 15m 15s	1524.6%	6.0%	46.1 GB
