---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   reverent_hypatia
Pipeline_session:   9509b235-d807-4c19-b55f-1346956c8951
Pipeline_duration:  30817
Pipeline_datastrt:  2024-06-17T12:21:26.991312+01:00
Pipeline_datecomp:  2024-06-17T20:55:04.247606+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      drRosSpin1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Rosa_spinosissima/assembly/draft/treeval/drRosSpin1_2/drRosSpin1_2.yaml
InputAssemblyData:  [[id:drRosSpin1_2, sz:1639825230, ln:, tk:null], /lustre/scratch122/tol/data/e/6/b/c/9/5/Rosa_spinosissima/assembly/draft/treeval/drRosSpin1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[2973050523, 6293179052]], [/lustre/scratch122/tol/data/e/6/b/c/9/5/Rosa_spinosissima/assembly/draft/treeval/drRosSpin1_2/working/work/cf/c93dbe13459a4f12221b6983a66b4f/in/m64016e_230415_231318.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.rmdup.filtered.fasta.gz, /lustre/scratch122/tol/data/e/6/b/c/9/5/Rosa_spinosissima/assembly/draft/treeval/drRosSpin1_2/working/work/cf/c93dbe13459a4f12221b6983a66b4f/in/m84093_240223_140830_s1.ccs.bc2011.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:48876803744, cn:10], /lustre/scratch122/tol/data/e/6/b/c/9/5/Rosa_spinosissima/assembly/draft/treeval/drRosSpin1_2/working/work/69/89f49e8b9aac0e95c06b7833f2bc33/in/46585_1#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (drRosSpin1_2)	COMPLETED	-	1	100 MB	1	13ms	84.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (drRosSpin1_2)	COMPLETED	-	1	100 MB	1	12ms	94.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (drRosSpin1_2)	COMPLETED	-	1	100 MB	1	13ms	85.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (drRosSpin1_2)	COMPLETED	-	2	12 GB	1	4s	94.0%	0.0%	138.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (drRosSpin1_2)	COMPLETED	-	2	12 GB	1	9.9s	98.8%	0.1%	276 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (drRosSpin1_2)	COMPLETED	-	1	100 MB	1	0ms	43.7%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (drRosSpin1_2)	COMPLETED	-	1	6 GB	1	8s	94.9%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (drRosSpin1_2)	COMPLETED	-	1	1 GB	1	0ms	45.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (drRosSpin1_2)	COMPLETED	-	1	100 MB	1	31ms	37.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (drRosSpin1_2)	COMPLETED	-	2	12 GB	1	3s	132.7%	0.1%	368.4 MB
