---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   mad_brattain
Pipeline_session:   278257e4-1100-44bf-bc79-95e347dc698a
Pipeline_duration:  14015
Pipeline_datastrt:  2024-04-15T04:36:52.206364+01:00
Pipeline_datecomp:  2024-04-15T08:30:28.169666+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      drRubCaes1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/dicots/Rubus_caesius/assembly/draft/treeval/drRubCaes1_1/drRubCaes1_1.yaml
InputAssemblyData:  [[id:drRubCaes1_1, sz:641089880, ln:dicots, tk:null], /lustre/scratch124/tol/projects/darwin/data/dicots/Rubus_caesius/assembly/draft/treeval/drRubCaes1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5078370418], /lustre/scratch124/tol/projects/darwin/data/dicots/Rubus_caesius/assembly/draft/treeval/drRubCaes1_1/working/work/1e/08595afccc60ea1c13f57fd20e28d1/in/m64094e_230517_115726.ccs.bc2081--bc2081.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:24497971980, cn:5], /lustre/scratch124/tol/projects/darwin/data/dicots/Rubus_caesius/assembly/draft/treeval/drRubCaes1_1/working/work/03/011dffbdbeb30a6f9d8f0c208c6c6f/in/47527_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (drRubCaes1_1)	COMPLETED	-	1	100 MB	1	41ms	89.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (drRubCaes1_1)	COMPLETED	-	1	100 MB	1	38ms	88.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (drRubCaes1_1)	COMPLETED	-	1	100 MB	1	37ms	93.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (drRubCaes1_1)	COMPLETED	-	1	100 MB	1	41ms	87.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (drRubCaes1_1)	COMPLETED	-	2	12 GB	1	1s	94.2%	0.0%	5.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (drRubCaes1_1)	COMPLETED	-	1	6 GB	1	3s	92.2%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (drRubCaes1_1)	COMPLETED	-	1	100 MB	1	1s	21.4%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (drRubCaes1_1)	COMPLETED	-	2	12 GB	1	5s	95.8%	0.1%	188.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (drRubCaes1_1)	COMPLETED	-	1	1 GB	1	1s	15.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (drRubCaes1_1)	COMPLETED	-	1	100 MB	1	25ms	25.7%	0.0%	0
