---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   modest_euler
Pipeline_session:   617a6f73-d6a1-4a5a-baae-e0898bcf6798
Pipeline_duration:  17865
Pipeline_datastrt:  2024-06-14T10:26:56.417944+01:00
Pipeline_datecomp:  2024-06-14T15:24:42.065631+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      eeEchEscu1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/echinoderms/Echinus_esculentus/assembly/draft/treeval/eeEchEscu1_1/eeEchEscu1_1.yaml
InputAssemblyData:  [[id:eeEchEscu1_1, sz:1082039515, ln:, tk:null], /lustre/scratch122/tol/data/a/6/1/5/5/b/Echinus_esculentus/assembly/draft/treeval/eeEchEscu1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[594766224, 6134760893]], [/lustre/scratch122/tol/data/a/6/1/5/5/b/Echinus_esculentus/assembly/draft/treeval/eeEchEscu1_1/working/work/1e/0962d92540c3233bd6091903536d05/in/m64125_201023_154439.ccs.bc1016_BAK8B_OA--bc1016_BAK8B_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/a/6/1/5/5/b/Echinus_esculentus/assembly/draft/treeval/eeEchEscu1_1/working/work/1e/0962d92540c3233bd6091903536d05/in/m84098_240319_110834_s1.ccs.bc2006.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:34650556519, cn:7], /lustre/scratch122/tol/data/a/6/1/5/5/b/Echinus_esculentus/assembly/draft/treeval/eeEchEscu1_1/working/work/73/b5b6b54f15b72ae9abb13e4c2313ac/in/35430_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (eeEchEscu1_1)	COMPLETED	-	1	100 MB	1	9ms	75.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (eeEchEscu1_1)	COMPLETED	-	1	100 MB	1	10ms	107.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (eeEchEscu1_1)	COMPLETED	-	1	100 MB	1	9ms	84.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (eeEchEscu1_1)	COMPLETED	-	1	100 MB	1	0ms	39.1%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (eeEchEscu1_1)	COMPLETED	-	1	6 GB	1	5s	96.2%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (eeEchEscu1_1)	COMPLETED	-	2	12 GB	1	2s	74.8%	0.0%	96.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (eeEchEscu1_1)	COMPLETED	-	2	12 GB	1	6.7s	101.1%	0.0%	189 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (eeEchEscu1_1)	COMPLETED	-	2	12 GB	1	31s	99.7%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (eeEchEscu1_1)	COMPLETED	-	2	12 GB	1	15ms	126.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (eeEchEscu1_1)	COMPLETED	-	2	12 GB	1	16ms	99.0%	0.0%	0
