---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   voluminous_albattani
Pipeline_session:   05ecf7c5-c1d3-4371-af78-bc8b7c6186e0
Pipeline_duration:  21921
Pipeline_datastrt:  2024-05-30T10:27:52.931170+01:00
Pipeline_datecomp:  2024-05-30T16:33:14.128344+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      fBenEln1_1
InputYamlFile:      /lustre/scratch124/tol/projects/vgp/data/fish/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/fBenEln1_1.yaml
InputAssemblyData:  [[id:fBenEln1_1, sz:1759770841, ln:, tk:null], /lustre/scratch122/tol/data/1/6/7/e/9/8/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[5525055803, 4086812029, 2681590983, 26749576]], [/lustre/scratch122/tol/data/1/6/7/e/9/8/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/working/work/91/4c9f482685aa5a032abb444f184434/in/m64089e_240110_203832.ccs.bc2001--bc2001.filtered.fasta.gz, /lustre/scratch122/tol/data/1/6/7/e/9/8/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/working/work/91/4c9f482685aa5a032abb444f184434/in/m64097e_230216_144746.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/1/6/7/e/9/8/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/working/work/91/4c9f482685aa5a032abb444f184434/in/m64228e_230818_070912.ccs.bc2034--bc2034.filtered.fasta.gz, /lustre/scratch122/tol/data/1/6/7/e/9/8/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/working/work/91/4c9f482685aa5a032abb444f184434/in/m64229e_230302_011354.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:40620212181, cn:9], /lustre/scratch122/tol/data/1/6/7/e/9/8/Benthalbella_elongata/assembly/draft/treeval/fBenEln1_1/working/work/1a/41595eb29f0072bc018fcc1d81efcc/in/45816_1#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (fBenEln1_1)	COMPLETED	-	1	100 MB	1	10ms	70.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (fBenEln1_1)	COMPLETED	-	1	100 MB	1	13ms	79.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (fBenEln1_1)	COMPLETED	-	1	100 MB	1	10ms	104.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (fBenEln1_1)	COMPLETED	-	1	100 MB	1	0ms	53.4%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (fBenEln1_1)	COMPLETED	-	2	12 GB	1	2s	93.3%	0.0%	77.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (fBenEln1_1)	COMPLETED	-	1	100 MB	1	41ms	33.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (fBenEln1_1)	COMPLETED	-	1	6 GB	1	12s	94.4%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (fBenEln1_1)	COMPLETED	-	2	12 GB	1	10.4s	96.9%	0.0%	151.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (fBenEln1_1)	COMPLETED	-	1	1 GB	1	0ms	48.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (fBenEln1_1)	COMPLETED	-	2	12 GB	1	17ms	83.1%	0.0%	2.7 MB
