---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   hopeful_mercator
Pipeline_session:   6fef38cf-4fd9-44c0-b4d2-2c10b07877d6
Pipeline_duration:  24015
Pipeline_datastrt:  2023-11-29T11:25:24.425836Z
Pipeline_datecomp:  2023-11-29T18:05:39.962527Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      fCilMus1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/fCilMus1_1.yaml
InputAssemblyData:  [[id:fCilMus1_1, sz:463009763, ln:fish, tk:null], /lustre/scratch124/tol/projects/darwin/data/fish/Ciliata_mustela/assembly/draft/treeval/fCilMus1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:4966810055], /lustre/scratch124/tol/projects/darwin/data/fish/Ciliata_mustela/assembly/draft/treeval/fCilMus1_1/working/work/01/0b23c1a44bec3f1d186fdca6d49e2c/in/m64094e_221204_012051.ccs.bc1020_BAK8B_OA--bc1020_BAK8B_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:51202389674, cn:10], /lustre/scratch124/tol/projects/darwin/data/fish/Ciliata_mustela/assembly/draft/treeval/fCilMus1_1/working/work/aa/48e759dd2f30a7e8f2ef010535b057/in/44176_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (fCilMus1)	COMPLETED	-	1	100 MB	1	46ms	81.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (fCilMus1_1)	COMPLETED	-	1	100 MB	1	48ms	63.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (fCilMus1_1)	COMPLETED	-	1	100 MB	1	51ms	85.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (fCilMus1_1)	COMPLETED	-	2	12 GB	1	3.5s	92.8%	0.0%	95.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (fCilMus1_1)	COMPLETED	-	1	6 GB	1	2s	96.0%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (fCilMus1_1)	COMPLETED	-	1	100 MB	1	0ms	60.4%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (fCilMus1_1)	COMPLETED	-	2	12 GB	1	0ms	95.0%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (fCilMus1_1)	COMPLETED	-	2	12 GB	1	1s	155.3%	0.2%	305.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (fCilMus1_1)	COMPLETED	-	2	12 GB	1	19ms	63.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (fCilMus1_1)	COMPLETED	-	1	100 MB	1	32ms	22.2%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	13s	188.5%	0.9%	3.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (fCilMus1_1)	COMPLETED	-	2	12 GB	1	49ms	23.1%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (fCilMus1_1)	COMPLETED	-	2	12 GB	1	21ms	86.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (fCilMus1)	COMPLETED	-	2	12 GB	1	14s	96.2%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (fCilMus1_1)	COMPLETED	-	2	12 GB	1	16ms	92.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (fCilMus1_1)	COMPLETED	-	1	6 GB	1	0ms	73.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (fCilMus1_1)	COMPLETED	-	1	2 GB	1	0ms	56.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (fCilMus1_1)	COMPLETED	-	2	12 GB	1	101ms	64.7%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (fCilMus1_1)	COMPLETED	-	1	2 GB	1	3m 15s	3.0%	0.0%	912 KB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fCilMus1_1)	COMPLETED	-	2	12 GB	1	3m 56s	75.3%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	4m 26s	98.5%	1.3%	10.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (fCilMus1)	COMPLETED	-	25	100 GB	1	4m 24s	569.6%	2.4%	18.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (fCilMus1_1)	COMPLETED	-	2	12 GB	1	3m 21s	99.3%	0.0%	202.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (fCilMus1_1)	COMPLETED	-	2	12 GB	1	5s	99.0%	0.0%	5.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (fCilMus1_1)	COMPLETED	-	1	6 GB	1	1s	96.4%	0.2%	708.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (fCilMus1_1)	COMPLETED	-	2	12 GB	1	371ms	107.5%	0.0%	8.9 MB
