---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   extravagant_gutenberg
Pipeline_session:   a3222884-f587-4872-ad1c-ca68a71acaee
Pipeline_duration:  19445
Pipeline_datastrt:  2024-03-26T11:56:24.962503Z
Pipeline_datecomp:  2024-03-26T17:20:30.889495Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      fCorLav1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/fish/Coregonus_lavaretus/assembly/draft/treeval/fCorLav1_2/fCorLav1_2.yaml
InputAssemblyData:  [[id:fCorLav1_2, sz:5282071929, ln:fish, tk:null], /lustre/scratch124/tol/projects/darwin/data/fish/Coregonus_lavaretus/assembly/draft/treeval/fCorLav1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[5724802273, 5367630736, 15144594857]], [/lustre/scratch124/tol/projects/darwin/data/fish/Coregonus_lavaretus/assembly/draft/treeval/fCorLav1_2/working/work/cf/de6ad48ad1675eb3d52ed22bf76ab6/in/m64222e_230109_041235.ccs.bc1010_BAK8A_OA--bc1010_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/fish/Coregonus_lavaretus/assembly/draft/treeval/fCorLav1_2/working/work/cf/de6ad48ad1675eb3d52ed22bf76ab6/in/m64230e_230507_021449.ccs.bc2020--bc2020.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/fish/Coregonus_lavaretus/assembly/draft/treeval/fCorLav1_2/working/work/cf/de6ad48ad1675eb3d52ed22bf76ab6/in/m84047_231208_123905_s2.ccs.bc2049.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:129267914582, cn:26], /lustre/scratch124/tol/projects/darwin/data/fish/Coregonus_lavaretus/assembly/draft/treeval/fCorLav1_2/working/work/4a/aed6552166b9a1cb27b0b1c8083272/in/46689_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (fCorLav1_2)	CACHED	-	1	100 MB	1	61ms	48.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (fCorLav1_2)	CACHED	-	2	12 GB	1	29.9s	98.5%	0.1%	321.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fCorLav1_2)	CACHED	-	6	9 GB	1	28m 17s	100.1%	1.1%	4.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (fCorLav1_2)	CACHED	-	1	100 MB	1	66ms	44.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (fCorLav1_2)	CACHED	-	1	100 MB	1	60ms	46.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (fCorLav1_2)	CACHED	-	2	12 GB	1	8s	82.0%	0.0%	161.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (fCorLav1_2)	CACHED	-	1	100 MB	1	71ms	39.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	148 GB	1	1h 47s	99.7%	15.4%	116.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (fCorLav1_2)	CACHED	-	1	100 MB	1	1s	20.8%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (fCorLav1_2)	CACHED	-	1	6 GB	1	20s	98.1%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (fCorLav1_2)	CACHED	-	1	3 GB	1	46m 44s	99.7%	0.3%	552.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (fCorLav1_2)	CACHED	-	2	12 GB	1	5s	126.5%	0.1%	373.3 MB
