---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   focused_nobel
Pipeline_session:   6cbae3a3-e24e-481c-a34a-1b5bcd59760e
Pipeline_duration:  16288
Pipeline_datastrt:  2024-07-11T09:26:01.396557+01:00
Pipeline_datecomp:  2024-07-11T13:57:29.489042+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      fDipLim2_1
InputYamlFile:      /lustre/scratch123/tol/teams/durbin/data/cichlids/Diplotaxodon_limnothrissa/assembly/draft/treeval/fDipLim2_1/fDipLim2_1.yaml
InputAssemblyData:  [[id:fDipLim2_1, sz:979242676, ln:, tk:null], /lustre/scratch122/tol/data/4/1/5/9/5/9/Diplotaxodon_limnothrissa/assembly/draft/treeval/fDipLim2_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:10484118173], /lustre/scratch122/tol/data/4/1/5/9/5/9/Diplotaxodon_limnothrissa/assembly/draft/treeval/fDipLim2_1/working/work/e3/68cacc916932347753bd20d4b94019/in/m84098_240424_121412_s3.ccs.bc2041.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33622505878, cn:7], /lustre/scratch122/tol/data/4/1/5/9/5/9/Diplotaxodon_limnothrissa/assembly/draft/treeval/fDipLim2_1/working/work/0c/014f729a11e50a6ea50ec748c12a16/in/47658_1#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (fDipLim2_1)	COMPLETED	-	1	100 MB	1	25ms	23.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (fDipLim2_1)	COMPLETED	-	1	100 MB	1	16ms	61.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (fDipLim2_1)	COMPLETED	-	1	100 MB	1	37ms	32.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (fDipLim2_1)	COMPLETED	-	2	12 GB	1	8.3s	97.9%	0.0%	138.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (fDipLim2_1)	COMPLETED	-	2	12 GB	1	3s	96.6%	0.0%	71.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (fDipLim2_1)	COMPLETED	-	2	12 GB	1	1s	117.4%	0.0%	307.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (fDipLim2_1)	COMPLETED	-	1	100 MB	1	1s	37.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (fDipLim2_1)	COMPLETED	-	1	6 GB	1	4s	94.2%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (fDipLim2_1)	COMPLETED	-	1	1 GB	1	0ms	18.2%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (fDipLim2_1)	COMPLETED	-	1	100 MB	1	51ms	43.6%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (fDipLim2_1)	COMPLETED	-	2	12 GB	1	30s	99.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (fDipLim2_1)	COMPLETED	-	2	12 GB	1	16ms	42.1%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (fDipLim2_1)	COMPLETED	-	1	6 GB	1	0ms	85.4%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (fDipLim2_1)	COMPLETED	-	2	12 GB	1	14ms	36.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (fDipLim2_1)	COMPLETED	-	2	12 GB	1	166ms	63.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (fDipLim2_1)	COMPLETED	-	2	12 GB	1	153ms	24.0%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (fDipLim2_1)	COMPLETED	-	1	1 GB	1	0ms	18.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fDipLim2_1)	COMPLETED	-	6	1.5 GB	1	3m 46s	100.1%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	28 GB	1	11m 39s	99.1%	5.7%	21.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (fDipLim2_1)	COMPLETED	-	1	1 GB	1	9m 22s	98.8%	0.1%	265.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (fDipLim2_1)	COMPLETED	-	2	12 GB	1	4s	97.4%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (fDipLim2_1)	COMPLETED	-	1	6 GB	1	3s	93.0%	0.4%	1.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (fDipLim2_1)	COMPLETED	-	2	12 GB	1	1.2s	93.2%	0.0%	8.6 MB
