---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   lethal_stallman
Pipeline_session:   60876a86-0a58-465a-9e65-915e43654f9b
Pipeline_duration:  83040
Pipeline_datastrt:  2024-03-14T17:39:52.621003755Z
Pipeline_datecomp:  2024-03-15T16:43:53.617630646Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      fLepOcu1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/fLepOcu1_1.yaml
InputAssemblyData:  [[id:fLepOcu1_1, sz:1135825704, ln:fish, tk:null], /lustre/scratch124/tol/projects/genomeark/data/fish/Lepisosteus_oculatus/assembly/draft/treeval/fLepOcu1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:16326289766], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/7e/96bc4a76d0ce63ff084e6c68c54641/in/m84091_240223_215749_s2.hifi_reads.bc1018.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[16645391863, 9103258644], cn:6], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/2d/0bff76cc63ed996fa90861e5ed06bb/in/fLepOcu1_L1_S2.cram, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/2d/0bff76cc63ed996fa90861e5ed06bb/in/fLepOcu1_L1_S9.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (fLepOcu1_1)	CACHED	-	2	12 GB	1	2s	99.5%	0.0%	80.1 MB
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (fLepOcu1_1)	CACHED	-	1	100 MB	1	166ms	30.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (fLepOcu1_1)	CACHED	-	1	100 MB	1	406ms	10.3%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (fLepOcu1_1)	CACHED	-	1	100 MB	1	196ms	16.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (fLepOcu1_1)	CACHED	-	2	12 GB	1	22s	94.1%	0.1%	211.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fLepOcu1_1)	CACHED	-	6	3 GB	1	4m 17s	99.4%	0.3%	1.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (fLepOcu1_1)	CACHED	-	6	50 GB	1	23s	343.5%	2.3%	8.6 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (fLepOcu1_1)	CACHED	-	1	100 MB	1	1s	32.1%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (fLepOcu1_1)	CACHED	-	2	12 GB	1	5.9s	93.8%	0.1%	156.2 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (fLepOcu1_1)	CACHED	-	1	6 GB	1	16s	96.3%	0.6%	1.1 GB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (fLepOcu1_1)	CACHED	-	1	6 GB	1	6s	96.2%	0.0%	6.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (fLepOcu1_1)	CACHED	-	2	12 GB	1	25s	95.2%	0.1%	211.3 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	32 GB	1	11m 56s	99.3%	12.0%	25 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (fLepOcu1_1)	CACHED	-	1	100 MB	1	415ms	9.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:CHUNKFASTA (fLepOcu1_1)	CACHED	-	2	12 GB	1	42s	24.8%	0.5%	1 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSPQI)	CACHED	-	2	12 GB	1	1s	89.7%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:KMER:CAT_CAT (fLepOcu1_1)	CACHED	-	2	12 GB	1	42s	98.2%	0.0%	3.5 MB
