---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   nice_neumann
Pipeline_session:   070b78d5-baf3-4f47-a29b-4749dd3797b9
Pipeline_duration:  23048
Pipeline_datastrt:  2023-10-23T11:43:42.298741335+01:00
Pipeline_datecomp:  2023-10-23T18:07:50.608706237+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      fSarPil1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/fSarPil1_1.yaml
InputAssemblyData:  [[id:fSarPil1_1, sz:942264640, ln:fish, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/fish/Sardina_pilchardus/assembly/draft/treeval/fSarPil1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[4850274133, 6809574530]], [/lustre/scratch124/tol/projects/darwin/data/fish/Sardina_pilchardus/assembly/draft/treeval/fSarPil1_1/working/work/6e/e779a67a46fd1ada1eeef15ae3c8b3/in/m64178e_230211_031459.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/fish/Sardina_pilchardus/assembly/draft/treeval/fSarPil1_1/working/work/6e/e779a67a46fd1ada1eeef15ae3c8b3/in/m84093_231006_102826_s2.ccs.bc2076.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:26907554190], /lustre/scratch124/tol/projects/darwin/data/fish/Sardina_pilchardus/assembly/draft/treeval/fSarPil1_1/working/work/5d/1f39c75e28e5ef6b315f6e2a7c9688/in/46860_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (fSarPil1_1)	COMPLETED	-	1	6 GB	1	39ms	83.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (fSarPil1_1)	COMPLETED	-	1	6 GB	1	44ms	75.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (fSarPil1_1)	COMPLETED	-	1	6 GB	1	49ms	85.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (fSarPil1_1)	COMPLETED	-	2	12 GB	1	0ms	77.6%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (fSarPil1_1)	COMPLETED	-	2	12 GB	1	1s	91.6%	0.0%	52.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (fSarPil1_1)	COMPLETED	-	1	6 GB	1	3s	97.3%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (fSarPil1_1)	COMPLETED	-	2	12 GB	1	6.7s	97.2%	0.0%	100.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (fSarPil1_1)	COMPLETED	-	2	12 GB	1	28ms	13.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (fSarPil1_1)	COMPLETED	-	2	12 GB	1	15ms	42.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (fSarPil1_1)	COMPLETED	-	2	12 GB	1	13ms	62.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (fSarPil1_1)	COMPLETED	-	2	12 GB	1	1s	122.3%	0.1%	309.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (fSarPil1_1)	COMPLETED	-	2	12 GB	1	14ms	91.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (fSarPil1_1)	COMPLETED	-	1	6 GB	1	0ms	82.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (fSarPil1_1)	COMPLETED	-	1	6 GB	1	0ms	52.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (fSarPil1_1)	COMPLETED	-	2	12 GB	1	22ms	71.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (fSarPil1_1)	COMPLETED	-	2	12 GB	1	88ms	74.4%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (fSarPil1_1)	COMPLETED	-	1	6 GB	1	0ms	55.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	26s	199.2%	1.3%	5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (fSarPil1_1)	COMPLETED	-	2	12 GB	1	33s	96.9%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fSarPil1_1)	COMPLETED	-	2	12 GB	1	3m 31s	100.0%	0.6%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (fSarPil1_1)	COMPLETED	-	25	100 GB	1	7m 4s	732.8%	4.9%	37.3 GB
