---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   nauseous_lumiere
Pipeline_session:   f78fa41a-c642-4990-b9a2-b78823f77ee3
Pipeline_duration:  13153
Pipeline_datastrt:  2024-07-15T15:06:23.224236+01:00
Pipeline_datecomp:  2024-07-15T18:45:37.167117+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      gfButSuba1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/fungi/Butyriboletus_subappendiculatus/assembly/draft/treeval/gfButSuba1_1/gfButSuba1_1.yaml
InputAssemblyData:  [[id:gfButSuba1_1, sz:33563842, ln:, tk:null], /lustre/scratch122/tol/data/a/7/8/7/8/5/Butyriboletus_subappendiculatus/assembly/draft/treeval/gfButSuba1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:2210610449], /lustre/scratch122/tol/data/a/7/8/7/8/5/Butyriboletus_subappendiculatus/assembly/draft/treeval/gfButSuba1_1/working/work/39/e650660d83d188589f4d622f23a011/in/m84047_240516_121730_s4.ccs.bc2084.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33210850986, cn:7], /lustre/scratch122/tol/data/a/7/8/7/8/5/Butyriboletus_subappendiculatus/assembly/draft/treeval/gfButSuba1_1/working/work/d0/28d4c99b3608eddcba644eb4ae2ba7/in/48087_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (gfButSuba1_1)	COMPLETED	-	1	100 MB	1	9ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (gfButSuba1_1)	COMPLETED	-	1	100 MB	1	10ms	123.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (gfButSuba1_1)	COMPLETED	-	1	100 MB	1	9ms	118.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	1s	95.0%	0.0%	8.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	252ms	78.0%	0.0%	13 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (gfButSuba1_1)	COMPLETED	-	1	6 GB	1	1s	84.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (gfButSuba1_1)	COMPLETED	-	1	1 GB	1	0ms	33.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	0ms	96.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	6s	93.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (gfButSuba1_1)	COMPLETED	-	1	6 GB	1	0ms	23.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	25ms	63.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	16ms	69.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	17ms	94.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (gfButSuba1_1)	COMPLETED	-	1	100 MB	1	1s	42.9%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (gfButSuba1_1)	COMPLETED	-	1	100 MB	1	37ms	40.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	23ms	34.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (gfButSuba1_1)	COMPLETED	-	1	1 GB	1	0ms	37.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (gfButSuba1_1)	COMPLETED	-	6	1.5 GB	1	9s	99.5%	0.0%	107.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	1 GB	1	19s	87.3%	0.2%	784.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (gfButSuba1_1)	COMPLETED	-	1	1 GB	1	8s	95.1%	0.0%	49.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	0ms	71.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (gfButSuba1_1)	COMPLETED	-	1	6 GB	1	0ms	75.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	76ms	34.3%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	154ms	31.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	111ms	57.8%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (gfButSuba1_1)	COMPLETED	-	1	1 GB	1	1s	28.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (gfButSuba1_1)	COMPLETED	-	1	6 GB	1	1s	66.7%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (gfButSuba1_1)	COMPLETED	-	2	12 GB	1	33ms	58.5%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (gfButSuba1_1)	COMPLETED	-	2	1 GB	1	0ms	56.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (gfButSuba1_1)	COMPLETED	-	8	100 GB	1	3m 36s	397.7%	1.3%	10.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (gfButSuba1_1)	COMPLETED	-	20	100 GB	1	21s	616.4%	0.2%	833.7 MB
