---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   magical_newton
Pipeline_session:   225a8ec8-6dff-4c55-9bd6-29631456d890
Pipeline_duration:  9824
Pipeline_datastrt:  2024-07-12T08:35:34.412993+01:00
Pipeline_datecomp:  2024-07-12T11:19:19.124657+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      gfCorTriu1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/fungi/Phlegmacium_triumphans/assembly/draft/treeval/gfCorTriu1_1/gfCorTriu1_1.yaml
InputAssemblyData:  [[id:gfCorTriu1_1, sz:173963620, ln:, tk:null], /lustre/scratch122/tol/data/3/7/8/d/f/0/Phlegmacium_triumphans/assembly/draft/treeval/gfCorTriu1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:2780178667], /lustre/scratch122/tol/data/3/7/8/d/f/0/Phlegmacium_triumphans/assembly/draft/treeval/gfCorTriu1_1/working/work/be/3d90e6a1edc3d8c140b9579b9cd959/in/m84093_240607_124400_s4.ccs.bc2051.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34930641429, cn:8], /lustre/scratch122/tol/data/3/7/8/d/f/0/Phlegmacium_triumphans/assembly/draft/treeval/gfCorTriu1_1/working/work/1f/8b13d87de408a9916e2a9c85dd5310/in/48087_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (gfCorTriu1_1)	COMPLETED	-	1	100 MB	1	10ms	103.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (gfCorTriu1_1)	COMPLETED	-	1	100 MB	1	9ms	144.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (gfCorTriu1_1)	COMPLETED	-	1	100 MB	1	8ms	112.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	1.2s	80.1%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	0ms	58.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (gfCorTriu1_1)	COMPLETED	-	1	6 GB	1	1s	77.3%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (gfCorTriu1_1)	COMPLETED	-	1	100 MB	1	0ms	52.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	1s	153.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	9s	97.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	15ms	100.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (gfCorTriu1_1)	COMPLETED	-	1	1 GB	1	0ms	22.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (gfCorTriu1_1)	COMPLETED	-	1	100 MB	1	47ms	29.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (gfCorTriu1_1)	COMPLETED	-	1	6 GB	1	0ms	58.3%	0.0%	5.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	22ms	32.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	29ms	68.8%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (gfCorTriu1_1)	COMPLETED	-	1	1 GB	1	0ms	19.1%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (gfCorTriu1_1)	COMPLETED	-	6	1.5 GB	1	41s	99.8%	0.1%	357.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	66ms	27.4%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	5 GB	1	1m 21s	96.7%	0.9%	3.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (gfCorTriu1_1)	COMPLETED	-	1	1 GB	1	47s	98.1%	0.0%	97.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	1s	91.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (gfCorTriu1_1)	COMPLETED	-	1	6 GB	1	1s	89.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	120ms	78.5%	0.0%	8.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	273ms	155.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	274ms	119.1%	0.0%	9.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (gfCorTriu1_1)	COMPLETED	-	1	1 GB	1	1s	65.5%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (gfCorTriu1_1)	COMPLETED	-	1	6 GB	1	1s	81.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (gfCorTriu1_1)	COMPLETED	-	2	12 GB	1	23ms	109.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (gfCorTriu1_1)	COMPLETED	-	2	1 GB	1	0ms	61.4%	0.0%	3.7 MB
