---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   silly_elion
Pipeline_session:   a546989f-f537-4ab9-826f-702903bfe6e7
Pipeline_duration:  21238
Pipeline_datastrt:  2024-07-15T15:11:21.923747+01:00
Pipeline_datecomp:  2024-07-15T21:05:20.577435+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      gfLacPube1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/fungi/Lactarius_pubescens/assembly/draft/treeval/gfLacPube1_1/gfLacPube1_1.yaml
InputAssemblyData:  [[id:gfLacPube1_1, sz:66794335, ln:, tk:null], /lustre/scratch122/tol/data/5/6/3/f/4/6/Lactarius_pubescens/assembly/draft/treeval/gfLacPube1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:2409755144], /lustre/scratch122/tol/data/5/6/3/f/4/6/Lactarius_pubescens/assembly/draft/treeval/gfLacPube1_1/working/work/48/7da6244934c703ed5f8ace407dc10c/in/m84093_240607_124400_s4.ccs.bc2022.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34971465624, cn:8], /lustre/scratch122/tol/data/5/6/3/f/4/6/Lactarius_pubescens/assembly/draft/treeval/gfLacPube1_1/working/work/db/a1263b342d3a7e63f13ba14f2f081c/in/48359_6-7#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (gfLacPube1_1)	COMPLETED	-	1	100 MB	1	8ms	118.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (gfLacPube1_1)	COMPLETED	-	1	100 MB	1	10ms	131.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (gfLacPube1_1)	COMPLETED	-	1	100 MB	1	9ms	160.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (gfLacPube1_1)	COMPLETED	-	1	6 GB	1	0ms	77.0%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (gfLacPube1_1)	COMPLETED	-	2	12 GB	1	711ms	73.8%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (gfLacPube1_1)	COMPLETED	-	2	12 GB	1	8s	94.1%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (gfLacPube1_1)	COMPLETED	-	2	12 GB	1	1s	90.5%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (gfLacPube1_1)	COMPLETED	-	2	12 GB	1	36ms	66.8%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (gfLacPube1_1)	COMPLETED	-	2	12 GB	1	0ms	127.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (gfLacPube1_1)	COMPLETED	-	2	12 GB	1	17ms	38.8%	0.0%	2.8 MB
