---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   astonishing_bernard
Pipeline_session:   41846717-9630-4091-afce-34a3034f481d
Pipeline_duration:  14617
Pipeline_datastrt:  2023-10-24T09:07:08.718773935+01:00
Pipeline_datecomp:  2023-10-24T13:10:46.422529365+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      grSimLame1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/grSimLame1_1.yaml
InputAssemblyData:  [[id:grSimLame1_1, sz:29362581, ln:fungi, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/fungi/Simplicillium_lamellicola/assembly/draft/treeval/grSimLame1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7401602441], /lustre/scratch124/tol/projects/darwin/data/fungi/Simplicillium_lamellicola/assembly/draft/treeval/grSimLame1_1/working/work/97/998c7e88e7ea89e871607f2706facb/in/m64229e_230923_040407.ccs.bc2063--bc2063.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39598580748], /lustre/scratch124/tol/projects/darwin/data/fungi/Simplicillium_lamellicola/assembly/draft/treeval/grSimLame1_1/working/work/bc/59d0890422dd0d5a5f46029cc5a0d0/in/46313_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (grSimLame1_1)	COMPLETED	-	1	6 GB	1	41ms	105.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (grSimLame1_1)	COMPLETED	-	1	6 GB	1	51ms	73.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (grSimLame1_1)	COMPLETED	-	1	6 GB	1	44ms	89.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (grSimLame1_1)	COMPLETED	-	1	6 GB	1	0ms	72.7%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (grSimLame1_1)	COMPLETED	-	2	12 GB	1	2s	88.8%	0.0%	16.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (grSimLame1_1)	COMPLETED	-	2	12 GB	1	0ms	96.6%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (grSimLame1_1)	COMPLETED	-	2	12 GB	1	0ms	60.6%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	2s	121.0%	0.0%	270 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (grSimLame1_1)	COMPLETED	-	2	12 GB	1	14ms	61.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (grSimLame1_1)	COMPLETED	-	2	12 GB	1	44ms	14.5%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (grSimLame1_1)	COMPLETED	-	2	12 GB	1	1s	132.3%	0.0%	5.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (grSimLame1_1)	COMPLETED	-	1	6 GB	1	1s	41.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (grSimLame1_1)	COMPLETED	-	2	12 GB	1	9s	90.1%	0.0%	112.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (grSimLame1_1)	COMPLETED	-	2	12 GB	1	12ms	65.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (grSimLame1_1)	COMPLETED	-	2	12 GB	1	15ms	42.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (grSimLame1_1)	COMPLETED	-	1	6 GB	1	0ms	45.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (grSimLame1_1)	COMPLETED	-	2	12 GB	1	25ms	44.3%	0.0%	0
