---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   exotic_lumiere
Pipeline_session:   d05a7701-9bed-4cda-9416-9497e16046af
Pipeline_duration:  15519
Pipeline_datastrt:  2024-06-10T12:09:23.718587+01:00
Pipeline_datecomp:  2024-06-10T16:28:03.105856+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icAnaRegi1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Anaspis_regimbarti/assembly/draft/treeval/icAnaRegi1_1/icAnaRegi1_1.yaml
InputAssemblyData:  [[id:icAnaRegi1_1, sz:467266768, ln:, tk:null], /lustre/scratch122/tol/data/7/4/a/8/e/1/Anaspis_regimbarti/assembly/draft/treeval/icAnaRegi1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:5782317937], /lustre/scratch122/tol/data/7/4/a/8/e/1/Anaspis_regimbarti/assembly/draft/treeval/icAnaRegi1_1/working/work/92/0949a726e121774faccd3a5225cc14/in/m64174e_230128_171159.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:41857390235, cn:10], /lustre/scratch122/tol/data/7/4/a/8/e/1/Anaspis_regimbarti/assembly/draft/treeval/icAnaRegi1_1/working/work/eb/656b238fd7af0946e1506ea8cbbcaa/in/48903_7-8#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icAnaRegi1_1)	COMPLETED	-	1	100 MB	1	10ms	109.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icAnaRegi1_1)	COMPLETED	-	1	100 MB	1	10ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icAnaRegi1_1)	COMPLETED	-	1	100 MB	1	9ms	142.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icAnaRegi1_1)	COMPLETED	-	1	100 MB	1	0ms	36.2%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icAnaRegi1_1)	COMPLETED	-	1	6 GB	1	2s	95.5%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icAnaRegi1_1)	COMPLETED	-	2	12 GB	1	3.9s	97.2%	0.0%	191.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icAnaRegi1_1)	COMPLETED	-	2	12 GB	1	1s	74.8%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (icAnaRegi1_1)	COMPLETED	-	2	12 GB	1	24s	100.0%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icAnaRegi1_1)	COMPLETED	-	1	6 GB	1	0ms	77.8%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (icAnaRegi1_1)	COMPLETED	-	2	12 GB	1	19ms	78.5%	0.0%	2.7 MB
