---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   kickass_wescoff
Pipeline_session:   758cd72d-21db-4259-ad52-acedd372ddeb
Pipeline_duration:  15929
Pipeline_datastrt:  2023-12-06T11:32:35.978110Z
Pipeline_datecomp:  2023-12-06T15:58:05.858390Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icAphObli1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icAphObli1_1.yaml
InputAssemblyData:  [[id:icAphObli1_1, sz:358469812, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Aphidecta_obliterata/assembly/draft/treeval/icAphObli1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:3723637167], /lustre/scratch124/tol/projects/darwin/data/insects/Aphidecta_obliterata/assembly/draft/treeval/icAphObli1_1/working/work/36/7524883cf6c2ef791d906d767e9fd8/in/m84047_231028_084049_s1.ccs.bc1008_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39595713013, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Aphidecta_obliterata/assembly/draft/treeval/icAphObli1_1/working/work/65/e13f9514cb9e5ebc0ada4a3d50047d/in/47091_2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icAphObli1_1)	COMPLETED	-	1	100 MB	1	49ms	76.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icAphObli1)	COMPLETED	-	1	100 MB	1	62ms	60.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icAphObli1_1)	COMPLETED	-	1	100 MB	1	53ms	83.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icAphObli1_1)	COMPLETED	-	1	100 MB	1	1s	56.0%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icAphObli1_1)	COMPLETED	-	1	6 GB	1	3s	68.1%	0.0%	13.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icAphObli1_1)	COMPLETED	-	2	12 GB	1	1s	91.4%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icAphObli1_1)	COMPLETED	-	2	12 GB	1	3.3s	92.5%	0.0%	103.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (icAphObli1_1)	COMPLETED	-	2	12 GB	1	16ms	68.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (icAphObli1)	COMPLETED	-	2	12 GB	1	10s	93.3%	0.0%	3.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icAphObli1_1)	COMPLETED	-	2	12 GB	1	31ms	45.4%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icAphObli1_1)	COMPLETED	-	1	100 MB	1	29ms	23.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	10s	193.1%	0.6%	2.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (icAphObli1_1)	COMPLETED	-	2	12 GB	1	3s	45.8%	0.0%	37 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (icAphObli1_1)	COMPLETED	-	1	2 GB	1	0ms	22.4%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (icAphObli1_1)	COMPLETED	-	2	12 GB	1	30ms	41.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icAphObli1_1)	COMPLETED	-	1	6 GB	1	1s	26.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (icAphObli1_1)	COMPLETED	-	2	12 GB	1	14ms	125.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (icAphObli1_1)	COMPLETED	-	2	12 GB	1	49ms	73.8%	0.0%	3.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (icAphObli1_1)	COMPLETED	-	1	2 GB	1	0ms	37.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (icAphObli1_1)	COMPLETED	-	2	12 GB	1	1m 34s	99.4%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (icAphObli1)	COMPLETED	-	25	100 GB	1	2m 40s	689.7%	3.7%	14 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	3m 7s	98.2%	2.1%	7.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (icAphObli1_1)	COMPLETED	-	2	12 GB	1	1m 50s	99.2%	0.0%	176.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (icAphObli1_1)	COMPLETED	-	2	12 GB	1	3s	98.4%	0.0%	5.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (icAphObli1_1)	COMPLETED	-	1	6 GB	1	2s	95.5%	0.0%	4.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (icAphObli1_1)	COMPLETED	-	2	12 GB	1	330ms	100.1%	0.0%	8.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (icAphObli1_1)	COMPLETED	-	2	12 GB	1	1.5s	185.2%	0.0%	132.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (icAphObli1_1)	COMPLETED	-	2	12 GB	1	1.2s	140.2%	0.0%	9.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (icAphObli1_1)	COMPLETED	-	1	6 GB	1	7s	97.0%	0.0%	8.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REPLACE_DOTS (icAphObli1_1)	COMPLETED	-	2	12 GB	1	25ms	81.0%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (icAphObli1_1)	COMPLETED	-	2	20 GB	1	0ms	78.0%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:MERQURYFK_MERQURYFK (icAphObli1)	COMPLETED	-	6	36 GB	1	2m 3s	448.4%	1.5%	5.7 GB
