---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   berserk_colden
Pipeline_session:   d553f6b9-08f8-4213-b70c-79b9f6c2eefd
Pipeline_duration:  38555
Pipeline_datastrt:  2023-11-01T13:51:29.457277268Z
Pipeline_datecomp:  2023-11-02T00:34:05.074499149Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icBarPell3_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icBarPell3_1.yaml
InputAssemblyData:  [[id:icBarPell3_1, sz:760962345, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Barypeithes_pellucidus/assembly/draft/treeval/icBarPell3_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7414818536], /lustre/scratch124/tol/projects/darwin/data/insects/Barypeithes_pellucidus/assembly/draft/treeval/icBarPell3_1/working/work/dd/8cb191ab9846cb4c9ae3adacb5f264/in/m64125e_231010_123059.ccs.bc2051--bc2051.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:83933892469], /lustre/scratch124/tol/projects/darwin/data/insects/Barypeithes_pellucidus/assembly/draft/treeval/icBarPell3_1/working/work/99/a735ea65a28967139fb985a304e305/in/41741_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icBarPell3_1)	COMPLETED	-	1	6 GB	1	38ms	89.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icBarPell3_1)	COMPLETED	-	1	6 GB	1	49ms	102.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icBarPell3_1)	COMPLETED	-	1	6 GB	1	40ms	99.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icBarPell3_1)	COMPLETED	-	2	12 GB	1	1s	96.2%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icBarPell3_1)	COMPLETED	-	1	6 GB	1	5s	91.5%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icBarPell3_1)	COMPLETED	-	2	12 GB	1	5.6s	96.0%	0.0%	176 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icBarPell3_1)	COMPLETED	-	2	12 GB	1	0ms	58.1%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icBarPell3_1)	COMPLETED	-	2	12 GB	1	12ms	65.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icBarPell3_1)	COMPLETED	-	2	12 GB	1	16ms	44.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (icBarPell3_1)	COMPLETED	-	2	12 GB	1	11ms	61.5%	0.0%	0
