---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   distraught_lumiere
Pipeline_session:   a446c5bb-a3c3-46b1-b03a-f47190a766eb
Pipeline_duration:  29656
Pipeline_datastrt:  2024-04-24T10:37:08.875940+01:00
Pipeline_datecomp:  2024-04-24T18:51:25.739679+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icCalSpil2_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Calodromius_spilotus/assembly/draft/treeval/icCalSpil2_2/icCalSpil2_2.yaml
InputAssemblyData:  [[id:icCalSpil2_2, sz:2098348095, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Calodromius_spilotus/assembly/draft/treeval/icCalSpil2_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:6763550916], /lustre/scratch124/tol/projects/darwin/data/insects/Calodromius_spilotus/assembly/draft/treeval/icCalSpil2_2/working/work/22/ef230837f1bbb1386280473cea1d6e/in/m64221e_230614_184012.ccs.bc2094--bc2094.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33434361770, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Calodromius_spilotus/assembly/draft/treeval/icCalSpil2_2/working/work/f4/66ed4bb9caa18d01f73baa9c5f1cad/in/48814_5-6#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icCalSpil2_2)	COMPLETED	-	1	100 MB	1	38ms	85.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icCalSpil2_2)	COMPLETED	-	1	100 MB	1	42ms	101.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icCalSpil2_2)	COMPLETED	-	1	100 MB	1	47ms	63.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icCalSpil2_2)	COMPLETED	-	1	100 MB	1	2s	9.1%	0.0%	7.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icCalSpil2_2)	COMPLETED	-	1	6 GB	1	12s	73.5%	0.0%	5.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	4s	93.2%	0.0%	73.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	12s	98.1%	0.0%	171.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icCalSpil2_2)	COMPLETED	-	1	6 GB	1	0ms	94.6%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	13ms	103.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	13ms	109.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icCalSpil2_2)	COMPLETED	-	1	1 GB	1	0ms	43.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (icCalSpil2_2)	COMPLETED	-	1	100 MB	1	24ms	52.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	3s	118.8%	0.1%	376.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	23s	98.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	159ms	120.8%	0.0%	8.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	21ms	92.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (icCalSpil2_2)	COMPLETED	-	1	1 GB	1	0ms	57.0%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (icCalSpil2_2)	COMPLETED	-	25	100 GB	1	5m 44s	671.7%	6.9%	25.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (icCalSpil2_2)	COMPLETED	-	20	100 GB	1	2m 34s	1176.9%	3.1%	12.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (icCalSpil2_2)	COMPLETED	-	6	4.5 GB	1	9m 27s	99.9%	1.1%	4.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	59 GB	1	17m 45s	99.3%	12.3%	46.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (icCalSpil2_2)	COMPLETED	-	1	2 GB	1	15m 8s	99.0%	0.1%	342.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	15s	99.7%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (icCalSpil2_2)	COMPLETED	-	1	6 GB	1	9s	95.3%	0.8%	3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	2s	111.2%	0.0%	8.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	7.1s	153.1%	0.2%	770.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	6.2s	136.8%	0.0%	9.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (icCalSpil2_2)	COMPLETED	-	1	1 GB	1	9s	96.3%	0.0%	14.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (icCalSpil2_2)	COMPLETED	-	1	6 GB	1	6s	97.0%	0.0%	10.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (icCalSpil2_2)	COMPLETED	-	2	12 GB	1	80ms	60.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (icCalSpil2_2)	COMPLETED	-	2	1 GB	1	0ms	59.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (icCalSpil2_2)	COMPLETED	-	16	42 GB	1	39m 28s	1481.3%	19.2%	36.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (icCalSpil2_2)	COMPLETED	-	20	42 GB	1	1h 26m 32s	1969.3%	4.0%	15.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:CAT_CAT (icCalSpil2)	COMPLETED	-	2	12 GB	1	1s	83.8%	0.0%	2.8 MB
