---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   naughty_snyder
Pipeline_session:   debe06a8-c71f-4619-b732-604bccec3f9b
Pipeline_duration:  25663
Pipeline_datastrt:  2024-07-17T20:18:02.750025+01:00
Pipeline_datecomp:  2024-07-18T03:25:46.696464+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icCruRufi1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Crudosilis_ruficollis/assembly/draft/treeval/icCruRufi1_1/icCruRufi1_1.yaml
InputAssemblyData:  [[id:icCruRufi1_1, sz:2213082184, ln:, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Crudosilis_ruficollis/assembly/draft/treeval/icCruRufi1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:20009826678], /lustre/scratch122/tol/scratch/prefect_prod/6999677a-3a25-447f-b6b6-40140e30b857/0e0c962a-925c-4237-9148-221d6e2ea9e2/work/1b/69a0628ee4bcfb2f2d94c5cb722013/in/m84047_230923_134445_s4.ccs.bc2048.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32510238137, cn:7], /lustre/scratch122/tol/scratch/prefect_prod/6999677a-3a25-447f-b6b6-40140e30b857/0e0c962a-925c-4237-9148-221d6e2ea9e2/work/cf/7d52857fc328f2e1a953e14e60e6e8/in/47534_1#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (icCruRufi1_1)	COMPLETED	-	1	100 MB	1	7ms	118.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icCruRufi1_1)	COMPLETED	-	1	100 MB	1	7ms	123.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icCruRufi1_1)	COMPLETED	-	1	100 MB	1	7ms	138.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icCruRufi1_1)	COMPLETED	-	1	100 MB	1	8ms	126.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icCruRufi1_1)	COMPLETED	-	2	12 GB	1	3s	97.6%	0.0%	174.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icCruRufi1_1)	COMPLETED	-	1	100 MB	1	1s	23.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icCruRufi1_1)	COMPLETED	-	1	6 GB	1	9s	96.1%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (icCruRufi1_1)	COMPLETED	-	1	100 MB	1	38ms	39.0%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icCruRufi1_1)	COMPLETED	-	1	1 GB	1	0ms	28.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (icCruRufi1_1)	COMPLETED	-	2	12 GB	1	17ms	70.3%	0.0%	0
