---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   insane_maxwell
Pipeline_session:   9384848b-b0c5-4f71-bd7c-c8567b3dde4d
Pipeline_duration:  34114
Pipeline_datastrt:  2024-07-10T09:33:11.397427+01:00
Pipeline_datecomp:  2024-07-10T19:01:46.010261+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icDriFlav1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Drilus_flavescens/assembly/draft/treeval/icDriFlav1_2/icDriFlav1_2.yaml
InputAssemblyData:  [[id:icDriFlav1_2, sz:1795229706, ln:, tk:null], /lustre/scratch122/tol/data/f/e/6/4/f/c/Drilus_flavescens/assembly/draft/treeval/icDriFlav1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[4961327123, 10616175256]], [/lustre/scratch122/tol/data/f/e/6/4/f/c/Drilus_flavescens/assembly/draft/treeval/icDriFlav1_2/working/work/2c/11b4161a4c592ceaeee00225c5d85d/in/m64178e_231223_132357.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/f/e/6/4/f/c/Drilus_flavescens/assembly/draft/treeval/icDriFlav1_2/working/work/2c/11b4161a4c592ceaeee00225c5d85d/in/m84047_240702_121131_s2.ccs.bc2046.rmdup.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:42985420005, cn:9], /lustre/scratch122/tol/data/f/e/6/4/f/c/Drilus_flavescens/assembly/draft/treeval/icDriFlav1_2/working/work/ed/219d22800d86a9f91da3bb1f31adf6/in/47091_4#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icDriFlav1_2)	COMPLETED	-	1	100 MB	1	8ms	155.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icDriFlav1_2)	COMPLETED	-	1	100 MB	1	9ms	157.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icDriFlav1_2)	COMPLETED	-	1	100 MB	1	9ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icDriFlav1_2)	COMPLETED	-	1	100 MB	1	0ms	70.8%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icDriFlav1_2)	COMPLETED	-	1	6 GB	1	8s	94.1%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	4s	92.5%	0.0%	132.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	14.6s	98.6%	0.1%	267.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icDriFlav1_2)	COMPLETED	-	1	6 GB	1	1s	89.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	39ms	53.8%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	31ms	26.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	307ms	89.2%	0.0%	2.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icDriFlav1_2)	COMPLETED	-	1	1 GB	1	0ms	21.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (icDriFlav1_2)	COMPLETED	-	1	100 MB	1	40ms	17.5%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	6s	116.5%	0.1%	372.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	21ms	80.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	49s	99.1%	0.0%	3.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (icDriFlav1_2)	COMPLETED	-	1	1 GB	1	0ms	18.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (icDriFlav1_2)	COMPLETED	-	6	3 GB	1	13m 24s	100.1%	0.4%	1.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (merged.fa)	COMPLETED	-	1	51 GB	1	17m 33s	99.4%	10.5%	39.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (icDriFlav1_2)	COMPLETED	-	8	100 GB	1	18m 3s	423.4%	6.3%	23.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (icDriFlav1_2)	COMPLETED	-	1	1 GB	1	15m 49s	99.1%	0.1%	433.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	6s	98.0%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (icDriFlav1_2)	COMPLETED	-	1	6 GB	1	6s	96.5%	0.6%	2.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	1.1s	99.6%	0.0%	8.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	4.1s	175.4%	0.2%	594.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (icDriFlav1_2)	COMPLETED	-	2	12 GB	1	5.2s	142.6%	0.0%	9.6 MB
