---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   kickass_cantor
Pipeline_session:   3111a25f-b1b0-476e-ae93-01ab7eee980a
Pipeline_duration:  22612
Pipeline_datastrt:  2024-04-21T17:46:06.051055+01:00
Pipeline_datecomp:  2024-04-22T00:02:58.162117+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icDruCana1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Drusilla_canaliculata/assembly/draft/treeval/icDruCana1_2/icDruCana1_2.yaml
InputAssemblyData:  [[id:icDruCana1_2, sz:773585031, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Drusilla_canaliculata/assembly/draft/treeval/icDruCana1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:6268197354], /lustre/scratch124/tol/projects/darwin/data/insects/Drusilla_canaliculata/assembly/draft/treeval/icDruCana1_2/working/work/bb/4a397d8c1cf887af46d77e6b8de7fd/in/m84098_240410_123626_s3.ccs.bc2049.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:31019668912, cn:7], /lustre/scratch124/tol/projects/darwin/data/insects/Drusilla_canaliculata/assembly/draft/treeval/icDruCana1_2/working/work/2e/388d5f7d500b210f504a9421d74758/in/47093_3#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icDruCana1_2)	COMPLETED	-	1	100 MB	1	58ms	59.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (icDruCana1_2)	COMPLETED	-	1	100 MB	1	70ms	46.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icDruCana1_2)	COMPLETED	-	1	100 MB	1	55ms	57.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icDruCana1_2)	COMPLETED	-	1	100 MB	1	58ms	42.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icDruCana1_2)	COMPLETED	-	1	6 GB	1	3s	96.1%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icDruCana1_2)	COMPLETED	-	1	100 MB	1	1s	26.8%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icDruCana1_2)	COMPLETED	-	2	12 GB	1	1s	96.7%	0.0%	4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icDruCana1_2)	COMPLETED	-	2	12 GB	1	6.9s	95.8%	0.0%	50.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (icDruCana1_2)	COMPLETED	-	2	12 GB	1	14ms	78.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icDruCana1_2)	COMPLETED	-	1	1 GB	1	0ms	49.0%	0.0%	3.1 MB
