---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   distraught_bohr
Pipeline_session:   a15d654d-aa9c-494d-937a-0c6649426652
Pipeline_duration:  16065
Pipeline_datastrt:  2024-07-11T09:26:50.723579+01:00
Pipeline_datecomp:  2024-07-11T13:54:36.366231+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icGasViri2_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Gastrophysa_viridula/assembly/draft/treeval/icGasViri2_1/icGasViri2_1.yaml
InputAssemblyData:  [[id:icGasViri2_1, sz:351269229, ln:, tk:null], /lustre/scratch122/tol/data/7/d/0/e/a/1/Gastrophysa_viridula/assembly/draft/treeval/icGasViri2_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:3348854295], /lustre/scratch122/tol/data/7/d/0/e/a/1/Gastrophysa_viridula/assembly/draft/treeval/icGasViri2_1/working/work/30/6ddd9c8a66502c9990e92576fe7401/in/m84047_240704_111007_s3.ccs.bc2049.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:51764272280, cn:9], /lustre/scratch122/tol/data/7/d/0/e/a/1/Gastrophysa_viridula/assembly/draft/treeval/icGasViri2_1/working/work/b1/e6c922c6dadaf28cb39135ddd9155c/in/35195_7#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icGasViri2_1)	COMPLETED	-	1	100 MB	1	12ms	129.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icGasViri2_1)	COMPLETED	-	1	100 MB	1	13ms	100.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icGasViri2_1)	COMPLETED	-	1	100 MB	1	12ms	71.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icGasViri2_1)	COMPLETED	-	1	6 GB	1	2s	89.8%	0.0%	5.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icGasViri2_1)	COMPLETED	-	2	12 GB	1	2.8s	94.9%	0.0%	68.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icGasViri2_1)	COMPLETED	-	2	12 GB	1	1s	73.8%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (icGasViri2_1)	COMPLETED	-	2	12 GB	1	16ms	88.9%	0.0%	2.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (icGasViri2_1)	COMPLETED	-	2	12 GB	1	10s	96.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icGasViri2_1)	COMPLETED	-	1	6 GB	1	0ms	81.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (icGasViri2_1)	COMPLETED	-	2	12 GB	1	37ms	51.6%	0.0%	2.9 MB
