---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   scruffy_mclean
Pipeline_session:   43f4fbd3-6f03-4c32-8fff-c54c15d8d7ac
Pipeline_duration:  31595
Pipeline_datastrt:  2024-03-11T11:25:35.860475Z
Pipeline_datecomp:  2024-03-11T20:12:11.436020Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icHalBino1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Hallomenus_binotatus/assembly/draft/treeval/icHalBino1_1/icHalBino1_1.yaml
InputAssemblyData:  [[id:icHalBino1_1, sz:213843875, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Hallomenus_binotatus/assembly/draft/treeval/icHalBino1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2376348825], /lustre/scratch124/tol/projects/darwin/data/insects/Hallomenus_binotatus/assembly/draft/treeval/icHalBino1_1/working/work/bd/bce03b106caac56c3ab5a762afbf5b/in/m84093_240302_121601_s2.ccs.bc2020.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35751232264, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Hallomenus_binotatus/assembly/draft/treeval/icHalBino1_1/working/work/cb/4e8749ba8ab6232a6269b4b4b4b56e/in/47093_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icHalBino1_1)	COMPLETED	-	1	100 MB	1	152ms	14.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icHalBino1_1)	COMPLETED	-	1	100 MB	1	140ms	18.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (icHalBino1_1)	COMPLETED	-	1	100 MB	1	57ms	27.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icHalBino1_1)	COMPLETED	-	1	100 MB	1	104ms	15.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icHalBino1_1)	COMPLETED	-	1	100 MB	1	0ms	25.5%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icHalBino1_1)	COMPLETED	-	2	12 GB	1	0ms	85.8%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icHalBino1_1)	COMPLETED	-	2	12 GB	1	1.7s	80.3%	0.0%	33.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (icHalBino1_1)	COMPLETED	-	1	6 GB	1	1s	91.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (icHalBino1_1)	COMPLETED	-	2	12 GB	1	6s	93.3%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (icHalBino1_1)	COMPLETED	-	2	12 GB	1	7s	84.7%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icHalBino1_1)	COMPLETED	-	1	1 GB	1	0ms	49.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (icHalBino1_1)	COMPLETED	-	1	100 MB	1	21ms	59.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (icHalBino1_1)	COMPLETED	-	2	12 GB	1	13ms	50.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (icHalBino1_1)	COMPLETED	-	2	12 GB	1	2s	121.4%	0.1%	223.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icHalBino1_1)	COMPLETED	-	1	6 GB	1	0ms	65.4%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (icHalBino1_1)	COMPLETED	-	2	12 GB	1	15ms	129.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (icHalBino1_1)	COMPLETED	-	2	12 GB	1	11ms	83.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (icHalBino1_1)	COMPLETED	-	2	12 GB	1	24ms	54.5%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (icHalBino1_1)	COMPLETED	-	2	12 GB	1	50ms	67.9%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (icHalBino1_1)	COMPLETED	-	1	1 GB	1	0ms	53.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (icHalBino1_1)	COMPLETED	-	6	1.5 GB	1	1m 1s	55.6%	0.1%	321.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	6 GB	1	1m 49s	97.5%	1.1%	4.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (icHalBino1_1)	COMPLETED	-	1	1 GB	1	51s	96.8%	0.0%	83.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (icHalBino1_1)	COMPLETED	-	2	12 GB	1	1s	92.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (icHalBino1_1)	COMPLETED	-	1	6 GB	1	1s	89.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (icHalBino1_1)	COMPLETED	-	2	12 GB	1	182ms	72.5%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (icHalBino1_1)	COMPLETED	-	2	12 GB	1	387ms	157.5%	0.0%	36.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (icHalBino1_1)	COMPLETED	-	2	12 GB	1	586ms	110.3%	0.0%	9.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (icHalBino1_1)	COMPLETED	-	1	1 GB	1	1s	71.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (icHalBino1_1)	COMPLETED	-	1	6 GB	1	1s	95.1%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (icHalBino1_1)	COMPLETED	-	2	12 GB	1	43ms	50.3%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (icHalBino1_1)	COMPLETED	-	2	1 GB	1	0ms	92.1%	0.0%	3.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:FASTK_FASTK (icHalBino1_1)	COMPLETED	-	25	100 GB	1	2m 48s	686.8%	1.9%	16 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (icHalBino1_1)	COMPLETED	-	25	100 GB	1	2m 49s	651.4%	2.1%	16 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:FKUTILS_FKPROF (icHalBino1_1)	COMPLETED	-	25	50 GB	1	24.7s	313.8%	0.8%	2.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GNU_SORT (icHalBino1_1)	COMPLETED	-	2	12 GB	1	2.2s	158.0%	0.1%	275.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:UCSC_BEDGRAPHTOBIGWIG (icHalBino1_1)	COMPLETED	-	2	1 GB	1	5s	95.1%	0.0%	9.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (icHalBino1_1)	COMPLETED	-	20	100 GB	1	53.4s	599.7%	0.1%	2.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (icHalBino1_1)	COMPLETED	-	16	50 GB	1	17m 9s	1473.2%	1.4%	22.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (icHalBino1_1)	COMPLETED	-	20	50 GB	1	1h 17m 37s	1895.6%	2.2%	16.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_MERGE (icHalBino1)	COMPLETED	-	16	50 GB	1	1m 17s	362.8%	0.0%	20.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_SORT (icHalBino1)	COMPLETED	-	8	36 GB	1	3m 13s	269.2%	1.6%	6.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_VIEW_FILTER_PRIMARY (icHalBino1)	COMPLETED	-	2	12 GB	1	4m	85.2%	0.0%	12.1 MB
