---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   infallible_curie
Pipeline_session:   0ade270a-e00e-405e-93a7-e8aa6009352e
Pipeline_duration:  22929
Pipeline_datastrt:  2024-07-15T15:07:47.247727+01:00
Pipeline_datecomp:  2024-07-15T21:29:57.157519+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icHarAnxi1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Harpalus_anxius/assembly/draft/treeval/icHarAnxi1_2/icHarAnxi1_2.yaml
InputAssemblyData:  [[id:icHarAnxi1_2, sz:2132694075, ln:, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Harpalus_anxius/assembly/draft/treeval/icHarAnxi1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:18164125405], /lustre/scratch124/tol/projects/darwin/data/insects/Harpalus_anxius/assembly/draft/treeval/icHarAnxi1_2/working/work/9d/b24b3a5cd04535e7926d71c7a6166e/in/m84098_230825_114928_s4.ccs.bc2008.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42611860784, cn:9], /lustre/scratch124/tol/projects/darwin/data/insects/Harpalus_anxius/assembly/draft/treeval/icHarAnxi1_2/working/work/ce/e7f37e864deca86f5a3c06476dda2f/in/47534_3#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icHarAnxi1_2)	COMPLETED	-	1	100 MB	1	9ms	123.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icHarAnxi1_2)	COMPLETED	-	1	100 MB	1	9ms	109.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icHarAnxi1_2)	COMPLETED	-	1	100 MB	1	9ms	90.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icHarAnxi1_2)	COMPLETED	-	2	12 GB	1	3s	90.8%	0.0%	89.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icHarAnxi1_2)	COMPLETED	-	1	6 GB	1	12s	95.6%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icHarAnxi1_2)	COMPLETED	-	1	100 MB	1	0ms	60.5%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (icHarAnxi1_2)	COMPLETED	-	1	100 MB	1	28ms	44.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icHarAnxi1_2)	COMPLETED	-	1	1 GB	1	0ms	58.4%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icHarAnxi1_2)	COMPLETED	-	1	6 GB	1	1s	91.5%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (icHarAnxi1_2)	COMPLETED	-	2	12 GB	1	114ms	152.8%	0.0%	2.8 MB
