---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   stupefied_fourier
Pipeline_session:   6f6d7507-4aeb-4d09-b0c2-ad512c07ef4c
Pipeline_duration:  11734
Pipeline_datastrt:  2023-12-30T22:33:49.732734Z
Pipeline_datecomp:  2023-12-31T01:49:24.730832Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icMalSeri1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icMalSeri1_1.yaml
InputAssemblyData:  [[id:icMalSeri1_1, sz:350568152, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Malthinus_seriepunctatus/assembly/draft/treeval/icMalSeri1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5891770498], /lustre/scratch124/tol/projects/darwin/data/insects/Malthinus_seriepunctatus/assembly/draft/treeval/icMalSeri1_1/working/work/67/dedea6437b881af963e94a4069f1e7/in/m64089e_231212_175540.ccs.bc2052--bc2052.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42964981707, cn:9], /lustre/scratch124/tol/projects/darwin/data/insects/Malthinus_seriepunctatus/assembly/draft/treeval/icMalSeri1_1/working/work/cf/e632a085f87a1a0b2d051848d7b338/in/47476_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icMalSeri1_1)	COMPLETED	-	1	100 MB	1	38ms	72.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icMalSeri1_1)	COMPLETED	-	1	100 MB	1	41ms	86.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icMalSeri1_1)	COMPLETED	-	1	100 MB	1	62ms	77.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icMalSeri1_1)	COMPLETED	-	1	6 GB	1	1s	95.8%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icMalSeri1_1)	COMPLETED	-	1	100 MB	1	0ms	55.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	1s	99.1%	0.0%	38 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	3.4s	90.8%	0.1%	260.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	15ms	88.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	15ms	114.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icMalSeri1_1)	COMPLETED	-	1	100 MB	1	25ms	51.6%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	10s	185.5%	0.7%	2.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	15ms	92.8%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icMalSeri1_1)	COMPLETED	-	1	6 GB	1	0ms	83.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (icMalSeri1_1)	COMPLETED	-	1	2 GB	1	0ms	56.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	3s	122.9%	0.1%	311.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	15s	96.0%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	48ms	73.6%	0.0%	7.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	19ms	94.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (icMalSeri1_1)	COMPLETED	-	1	2 GB	1	0ms	19.6%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	1m 25s	99.9%	0.3%	1.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	10 GB	1	3m	98.2%	2.0%	7.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	1m 54s	99.9%	0.1%	357 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (icMalSeri1_1)	COMPLETED	-	2	12 GB	1	7s	99.4%	0.0%	5.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (icMalSeri1_1)	COMPLETED	-	1	6 GB	1	1s	93.0%	0.2%	826.4 MB
