---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   tiny_nightingale
Pipeline_session:   853cfe92-9c79-4ba7-9dd9-acc9a9b0394e
Pipeline_duration:  170630
Pipeline_datastrt:  2023-11-23T16:16:09.783110Z
Pipeline_datecomp:  2023-11-25T15:39:59.877417Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icPolTere2_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icPolTere2_1.yaml
InputAssemblyData:  [[id:icPolTere2_1, sz:1426168178, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Polydrusus_tereticollis/assembly/draft/treeval/icPolTere2_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:17982336980], /lustre/scratch124/tol/projects/darwin/data/insects/Polydrusus_tereticollis/assembly/draft/treeval/icPolTere2_1/working/work/ce/199f7450d4918e6ef1d8129dde04a9/in/m84047_231111_122207_s4.ccs.bc2066.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:158622311480], /lustre/scratch124/tol/projects/darwin/data/insects/Polydrusus_tereticollis/assembly/draft/treeval/icPolTere2_1/working/work/79/e94ee6fbf0bee6e00d1a8b8b337eef/in/46101_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icPolTere2_1)	COMPLETED	-	1	100 MB	1	37ms	60.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icPolTere2_1)	COMPLETED	-	1	100 MB	1	37ms	78.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icPolTere2_1)	COMPLETED	-	1	100 MB	1	58ms	55.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icPolTere2_1)	COMPLETED	-	2	12 GB	1	10.9s	94.2%	0.1%	401.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (icPolTere2_1)	COMPLETED	-	2	12 GB	1	6s	63.5%	0.1%	338.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (icPolTere2_1)	COMPLETED	-	2	12 GB	1	20ms	98.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	36s	211.6%	1.4%	5.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icPolTere2_1)	COMPLETED	-	2	12 GB	1	3s	66.8%	0.1%	203 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (icPolTere2_1)	COMPLETED	-	2	12 GB	1	59s	99.0%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icPolTere2_1)	COMPLETED	-	1	6 GB	1	2m 11s	42.1%	0.0%	6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icPolTere2_1)	COMPLETED	-	2	12 GB	1	37ms	27.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icPolTere2_1)	COMPLETED	-	1	100 MB	1	1s	21.6%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icPolTere2_1)	COMPLETED	-	2	12 GB	1	95ms	24.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (icPolTere2_1)	COMPLETED	-	2	12 GB	1	22ms	57.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (icPolTere2_1)	COMPLETED	-	2	12 GB	1	16ms	45.7%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icPolTere2_1)	COMPLETED	-	1	6 GB	1	0ms	84.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (icPolTere2_1)	COMPLETED	-	1	6 GB	1	0ms	49.1%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (icPolTere2_1)	COMPLETED	-	2	12 GB	1	131ms	159.8%	0.0%	16.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (icPolTere2_1)	COMPLETED	-	1	6 GB	1	0ms	54.1%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (icPolTere2_1)	COMPLETED	-	2	12 GB	1	8m 12s	95.6%	1.1%	4.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	19m 43s	99.3%	7.7%	31.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (icPolTere2_1)	COMPLETED	-	2	12 GB	1	11m 42s	99.8%	0.1%	510.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (icPolTere2_1)	COMPLETED	-	2	12 GB	1	7s	93.7%	0.0%	6.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (icPolTere2_1)	COMPLETED	-	1	6 GB	1	5s	95.5%	0.6%	2.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (icPolTere2_1)	COMPLETED	-	2	12 GB	1	1.3s	101.2%	0.0%	8.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (icPolTere2_1)	COMPLETED	-	25	100 GB	1	12m 30s	628.0%	3.6%	27.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (icPolTere2_1)	COMPLETED	-	2	12 GB	1	3.9s	180.5%	0.3%	503.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (icPolTere2_1)	COMPLETED	-	2	12 GB	1	5.3s	139.8%	0.0%	9.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (icPolTere2_1)	COMPLETED	-	1	6 GB	1	2s	95.2%	0.0%	9.3 MB
