---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   loving_jepsen
Pipeline_session:   9d848044-73e3-44cf-bafe-01b7eba7842f
Pipeline_duration:  24619
Pipeline_datastrt:  2023-09-28T10:53:56.318486753+01:00
Pipeline_datecomp:  2023-09-28T17:44:15.584513566+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icRhaLign2_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icRhaLign2_1.yaml
InputAssemblyData:  [[id:icRhaLign2_1, sz:564971276, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Rhagonycha_lignosa/assembly/draft/treeval/icRhaLign2_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:16823487736], /lustre/scratch124/tol/projects/darwin/data/insects/Rhagonycha_lignosa/assembly/draft/treeval/icRhaLign2_1/working/work/05/0f87e774bbf3ae2626f74319860f90/in/m84047_230920_140120_s4.ccs.bc2001.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32194494079], /lustre/scratch124/tol/projects/darwin/data/insects/Rhagonycha_lignosa/assembly/draft/treeval/icRhaLign2_1/working/work/8d/d75867cc3b5c7437240a0b21081c05/in/47431_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icRhaLign2_1)	COMPLETED	-	1	6 GB	1	79ms	59.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icRhaLign2_1)	COMPLETED	-	1	6 GB	1	40ms	83.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icRhaLign2_1)	COMPLETED	-	1	6 GB	1	43ms	86.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icRhaLign2_1)	COMPLETED	-	2	12 GB	1	0ms	50.7%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icRhaLign2_1)	COMPLETED	-	2	12 GB	1	1s	95.4%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icRhaLign2_1)	COMPLETED	-	2	12 GB	1	5.5s	95.3%	0.1%	251.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icRhaLign2_1)	COMPLETED	-	1	6 GB	1	5s	82.1%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icRhaLign2_1)	COMPLETED	-	2	12 GB	1	12ms	94.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	15s	194.4%	0.8%	3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icRhaLign2_1)	COMPLETED	-	2	12 GB	1	12ms	48.1%	0.0%	2.8 MB
