---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   grave_kilby
Pipeline_session:   28d5e042-e4d0-4fdf-b943-c4614f76783b
Pipeline_duration:  28654
Pipeline_datastrt:  2024-07-12T08:33:03.688962+01:00
Pipeline_datecomp:  2024-07-12T16:30:37.864310+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      icSphTest1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Sphaeroderma_testaceum/assembly/draft/treeval/icSphTest1_1/icSphTest1_1.yaml
InputAssemblyData:  [[id:icSphTest1_1, sz:1558795419, ln:, tk:null], /lustre/scratch122/tol/data/8/4/f/5/9/0/Sphaeroderma_testaceum/assembly/draft/treeval/icSphTest1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:9578411282], /lustre/scratch122/tol/data/8/4/f/5/9/0/Sphaeroderma_testaceum/assembly/draft/treeval/icSphTest1_1/working/work/3f/0ae9b0b0e4993cce638f5487e0228c/in/m84093_240509_122236_s4.ccs.bc2089.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:72937095530, cn:15], /lustre/scratch122/tol/data/8/4/f/5/9/0/Sphaeroderma_testaceum/assembly/draft/treeval/icSphTest1_1/working/work/54/c3e600beed8dc9450638adf3293695/in/47924_3#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (icSphTest1_1)	COMPLETED	-	1	100 MB	1	8ms	62.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (icSphTest1_1)	COMPLETED	-	1	100 MB	1	9ms	75.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (icSphTest1_1)	COMPLETED	-	1	100 MB	1	10ms	94.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (icSphTest1_1)	COMPLETED	-	1	100 MB	1	1s	41.1%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (icSphTest1_1)	COMPLETED	-	2	12 GB	1	2s	82.2%	0.0%	115.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (icSphTest1_1)	COMPLETED	-	1	6 GB	1	10s	95.5%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (icSphTest1_1)	COMPLETED	-	1	1 GB	1	0ms	26.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (icSphTest1_1)	COMPLETED	-	2	12 GB	1	12.4s	99.0%	0.0%	226.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (icSphTest1_1)	COMPLETED	-	1	100 MB	1	51ms	29.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icSphTest1_1)	COMPLETED	-	1	6 GB	1	0ms	86.0%	0.0%	3.1 MB
