---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   adoring_descartes
Pipeline_session:   cca9c515-aead-4422-a9c6-2cc2d442788d
Pipeline_duration:  21024
Pipeline_datastrt:  2023-10-30T10:10:44.749074245Z
Pipeline_datecomp:  2023-10-30T16:01:08.773408982Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icTacRufp1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icTacRufp1_1.yaml
InputAssemblyData:  [[id:icTacRufp1_1, sz:1180420165, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Tachinus_rufipes/assembly/draft/treeval/icTacRufp1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:10401817280], /lustre/scratch124/tol/projects/darwin/data/insects/Tachinus_rufipes/assembly/draft/treeval/icTacRufp1_1/working/work/a0/7902b6c26ff188884d3ba3e1bc573d/in/m84093_231011_151832_s1.ccs.bc2009.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:28028271117], /lustre/scratch124/tol/projects/darwin/data/insects/Tachinus_rufipes/assembly/draft/treeval/icTacRufp1_1/working/work/b1/3c4ea6c746b8cee19865af7d9b23ff/in/47799_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	61ms	62.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	39ms	92.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	37ms	90.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	2s	70.0%	0.0%	138.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	4s	96.8%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	0ms	77.1%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	15ms	44.1%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	16ms	54.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	13.6s	92.5%	0.0%	272.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	12ms	65.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	0ms	89.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	0ms	52.7%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	15ms	45.1%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	114ms	83.7%	0.0%	6.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	4s	139.5%	0.0%	376.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	30s	211.4%	0.7%	5.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	27s	97.6%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (icTacRufp1_1)	COMPLETED	-	2	12 GB	1	20ms	74.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (icTacRufp1_1)	COMPLETED	-	1	6 GB	1	0ms	54.5%	0.0%	3.1 MB
