---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   fervent_perlman
Pipeline_session:   b29dfdaf-162a-4c7e-a115-9e89a169269c
Pipeline_duration:  35980
Pipeline_datastrt:  2024-03-05T21:50:19.793328Z
Pipeline_datecomp:  2024-03-06T07:50:00.267634Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idCamProd1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_1/idCamProd1_1.yaml
InputAssemblyData:  [[id:idCamProd1_1, sz:882558133, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:8884529007], /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_1/working/work/b9/4e5cf9d16a647150e37e094b214910/in/m84093_240209_174032_s4.ccs.bc2083.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:90803532763, cn:18], /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_1/working/work/0d/124aa2d17669ba5e4d884e140cc563/in/47799_2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idCamProd1_1)	COMPLETED	-	1	100 MB	1	334ms	19.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idCamProd1_1)	COMPLETED	-	1	100 MB	1	450ms	18.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idCamProd1_1)	COMPLETED	-	1	100 MB	1	440ms	17.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idCamProd1_1)	COMPLETED	-	1	100 MB	1	280ms	26.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idCamProd1_1)	COMPLETED	-	1	100 MB	1	0ms	35.9%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idCamProd1_1)	COMPLETED	-	2	12 GB	1	1s	86.9%	0.0%	179.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (idCamProd1_1)	COMPLETED	-	1	6 GB	1	6s	96.0%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idCamProd1_1)	COMPLETED	-	2	12 GB	1	9.7s	96.3%	0.0%	354.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idCamProd1_1)	COMPLETED	-	1	1 GB	1	0ms	58.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idCamProd1_1)	COMPLETED	-	1	100 MB	1	29ms	44.1%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (idCamProd1_1)	COMPLETED	-	2	12 GB	1	26ms	51.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (idCamProd1_1)	COMPLETED	-	2	12 GB	1	25ms	82.4%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idCamProd1_1)	COMPLETED	-	1	6 GB	1	0ms	83.5%	0.0%	5.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (idCamProd1_1)	COMPLETED	-	2	12 GB	1	12ms	84.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (idCamProd1_1)	COMPLETED	-	2	12 GB	1	5s	129.3%	0.0%	339.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (idCamProd1_1)	COMPLETED	-	2	12 GB	1	98ms	83.7%	0.0%	3.6 MB
