---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   crazy_yonath
Pipeline_session:   8f3959a7-e272-4c7b-90ad-5adb456762e7
Pipeline_duration:  45259
Pipeline_datastrt:  2024-03-05T21:50:06.713758Z
Pipeline_datecomp:  2024-03-06T10:24:25.850286Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      idCamProd1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_2/idCamProd1_2.yaml
InputAssemblyData:  [[id:idCamProd1_2, sz:1737427389, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:8884529007], /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_2/working/work/c3/426ed6f8e2945ac20b6726782a4b15/in/m84093_240209_174032_s4.ccs.bc2083.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:90803532763, cn:18], /lustre/scratch124/tol/projects/darwin/data/insects/Campiglossa_producta/assembly/draft/treeval/idCamProd1_2/working/work/97/d39cb2662297bd81be364bf33c0eae/in/47799_2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (idCamProd1_2)	COMPLETED	-	1	100 MB	1	50ms	45.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (idCamProd1_2)	COMPLETED	-	1	100 MB	1	73ms	22.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (idCamProd1_2)	COMPLETED	-	1	100 MB	1	63ms	24.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (idCamProd1_2)	COMPLETED	-	1	100 MB	1	128ms	19.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (idCamProd1_2)	COMPLETED	-	2	12 GB	1	4s	64.6%	0.0%	179.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (idCamProd1_2)	COMPLETED	-	1	100 MB	1	1s	31.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (idCamProd1_2)	COMPLETED	-	1	6 GB	1	9s	95.4%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (idCamProd1_2)	COMPLETED	-	1	1 GB	1	0ms	50.4%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (idCamProd1_2)	COMPLETED	-	1	100 MB	1	36ms	57.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (idCamProd1_2)	COMPLETED	-	2	12 GB	1	12.6s	90.1%	0.0%	360.1 MB
