---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   extravagant_franklin
Pipeline_session:   d824c562-9d94-46ec-b459-1d0c59ece505
Pipeline_duration:  17445
Pipeline_datastrt:  2023-10-23T21:33:11.500528146+01:00
Pipeline_datecomp:  2023-10-24T02:23:56.660942329+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idChrVidu2_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/idChrVidu2_1.yaml
InputAssemblyData:  [[id:idChrVidu2_1, sz:318358955, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Chrysops_viduatus/assembly/draft/treeval/idChrVidu2_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:10059007155], /lustre/scratch124/tol/projects/darwin/data/insects/Chrysops_viduatus/assembly/draft/treeval/idChrVidu2_1/working/work/58/261395801457bf13f70d5f8e624158/in/m84093_231006_102826_s2.ccs.bc2010.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:44861469080], /lustre/scratch124/tol/projects/darwin/data/insects/Chrysops_viduatus/assembly/draft/treeval/idChrVidu2_1/working/work/4a/1adaeb990d9c5d5f9d500c15d40b8c/in/44888_2#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	45ms	73.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	38ms	82.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	48ms	85.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	1s	91.8%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	0ms	89.1%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	0ms	64.0%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	3.1s	91.4%	0.0%	108.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	18ms	77.6%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	14ms	61.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	15ms	92.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	9s	201.9%	0.5%	2.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	1s	136.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	18ms	36.4%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	1s	69.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	0ms	52.6%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	21ms	99.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	52ms	83.3%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	0ms	53.4%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	27s	98.0%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	1m 3s	98.5%	0.1%	408.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	1m 18s	99.9%	0.0%	133.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	2s	99.3%	0.0%	5.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (idChrVidu2_1)	COMPLETED	-	1	6 GB	1	6s	97.4%	0.1%	472.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	394ms	94.7%	0.0%	8.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	1.7s	179.3%	0.0%	132.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (idChrVidu2_1)	COMPLETED	-	2	12 GB	1	1.3s	138.3%	0.0%	9.8 MB
